Quarter,Time,Tm,Detail,OAK,NYJ
1.0,4:54,Jets,Chris Baker 1 yard pass from Chad Pennington (Mike Nugent kick),0,7
2.0,10:36,Raiders,Sebastian Janikowski 35 yard field goal,3,7
,0:03,Jets,Mike Nugent 35 yard field goal,3,10
3.0,7:45,Jets,Mike Nugent 22 yard field goal,3,13
4.0,13:37,Jets,Leon Washington 15 yard rush (Mike Nugent kick),3,20
,11:43,Jets,Mike Nugent 35 yard field goal,3,23
