Unnamed: 0,OAK,NYJ
First Downs,12,19
Rush-Yds-TDs,22-88-0,37-117-1
Cmp-Att-Yd-TD-INT,15-26-136-0-1,22-30-157-1-0
Sacked-Yards,2-15,1-8
Net Pass Yards,121,149
Total Yards,209,266
Fumbles-Lost,2-2,0-0
Turnovers,3,0
Penalties-Yards,6-32,3-31
Third Down Conv.,3-11,10-17
Fourth Down Conv.,1-3,0-0
Time of Possession,23:11,36:49
