Quarter,Time,Tm,Detail,PIT,CIN
1.0,10:42,Steelers,Shaun Suisham 44 yard field goal,3,0
,0:57,Bengals,Giovani Bernard 7 yard rush (Mike Nugent kick),3,7
2.0,13:16,Bengals,Mike Nugent 41 yard field goal,3,10
,1:54,Steelers,Derek Moye 1 yard pass from Ben Roethlisberger (Shaun Suisham kick),10,10
3.0,6:08,Bengals,Giovani Bernard 27 yard pass from Andy Dalton (Mike Nugent kick),10,17
4.0,7:51,Bengals,Mike Nugent 25 yard field goal,10,20
