Unnamed: 0,PIT,CIN
First Downs,14,22
Rush-Yds-TDs,16-44-0,34-127-1
Cmp-Att-Yd-TD-INT,20-37-251-1-1,25-45-280-1-0
Sacked-Yards,2-17,0-0
Net Pass Yards,234,280
Total Yards,278,407
Fumbles-Lost,1-1,0-0
Turnovers,2,0
Penalties-Yards,3-29,9-84
Third Down Conv.,3-12,7-17
Fourth Down Conv.,0-0,0-1
Time of Possession,24:26,35:34
