Unnamed: 0,PIT,BAL
First Downs,19,19
Rush-Yds-TDs,26-96-1,21-111-1
Cmp-Att-Yd-TD-INT,25-37-276-1-2,16-34-188-1-1
Sacked-Yards,2-6,3-11
Net Pass Yards,270,177
Total Yards,366,288
Fumbles-Lost,2-1,1-1
Turnovers,3,2
Penalties-Yards,4-50,8-70
Third Down Conv.,5-13,3-11
Fourth Down Conv.,0-0,0-0
Time of Possession,34:21,25:39
