Quarter,Time,Tm,Detail,CHI,SFO
1.0,10:32,49ers,David Akers 32 yard field goal,0,3
,6:14,49ers,Vernon Davis 3 yard pass from Colin Kaepernick (David Akers kick),0,10
2.0,12:40,49ers,Kendall Hunter 14 yard rush (David Akers kick),0,17
,6:32,49ers,David Akers 37 yard field goal,0,20
3.0,11:05,49ers,Michael Crabtree 10 yard pass from Colin Kaepernick (David Akers kick),0,27
,3:43,Bears,Brandon Marshall 13 yard pass from Jason Campbell (Robbie Gould kick),7,27
4.0,11:46,49ers,David Akers 32 yard field goal,7,30
,9:32,49ers,"Safety, Chilo Rachal tackled in the end zone by Ray McDonald.",7,32
