Unnamed: 0,CHI,SFO
First Downs,12,18
Rush-Yds-TDs,28-85-0,29-121-1
Cmp-Att-Yd-TD-INT,14-22-107-1-2,16-23-243-2-0
Sacked-Yards,6-49,2-11
Net Pass Yards,58,232
Total Yards,143,353
Fumbles-Lost,3-0,0-0
Turnovers,2,0
Penalties-Yards,6-55,5-50
Third Down Conv.,3-12,4-12
Fourth Down Conv.,0-1,0-0
Time of Possession,29:55,30:05
