Unnamed: 0,BUF,CLE
First Downs,11,16
Rush-Yds-TDs,32-108-0,37-174-0
Cmp-Att-Yd-TD-INT,13-33-124-0-0,9-24-137-0-0
Sacked-Yards,0-0,1-7
Net Pass Yards,124,130
Total Yards,232,304
Fumbles-Lost,1-0,1-0
Turnovers,0,0
Penalties-Yards,2-15,2-15
Third Down Conv.,3-16,4-14
Fourth Down Conv.,2-5,0-1
Time of Possession,28:13,31:47
