Unnamed: 0,LVR,IND
First Downs,18,16
Rush-Yds-TDs,27-85-1,26-122-1
Cmp-Att-Yd-TD-INT,24-32-255-1-2,16-27-148-1-0
Sacked-Yards,2-14,1-8
Net Pass Yards,241,140
Total Yards,326,262
Fumbles-Lost,2-0,1-0
Turnovers,2,0
Penalties-Yards,6-41,3-25
Third Down Conv.,6-14,3-11
Fourth Down Conv.,2-2,1-1
Time of Possession,31:03,28:57
