Quarter,Time,Tm,Detail,LVR,IND
1.0,7:51,Raiders,Josh Jacobs 2 yard rush (Daniel Carlson kick),7,0
2.0,14:12,Raiders,Daniel Carlson 47 yard field goal,10,0
,10:07,Colts,Michael Badgley 46 yard field goal,10,3
,1:47,Raiders,Daniel Carlson 44 yard field goal,13,3
,0:01,Colts,Jonathan Taylor 1 yard rush (Michael Badgley kick),13,10
3.0,11:18,Colts,T.Y. Hilton 45 yard pass from Carson Wentz (Michael Badgley kick),13,17
4.0,11:18,Raiders,Hunter Renfrow 11 yard pass from Derek Carr (Daniel Carlson kick),20,17
,1:56,Colts,Michael Badgley 41 yard field goal,20,20
,0:00,Raiders,Daniel Carlson 33 yard field goal,23,20
