Quarter,Time,Down,ToGo,Location,CIN,ATL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Falcons won the coin toss, Falcons to receive the opening kickoff.",,
1,15:00,,,CIN 30,0,0,"Mike Nugent kicks off 67 yards, returned by Eric Weems for 14 yards (tackle by Morgan Trent)",0.000,-0.060
1,14:13,1,10,ATL 17,0,0,Matt Ryan pass complete short left to Michael Turner for 4 yards (tackle by Keith Rivers and Frostee Rucker),-0.060,0.080
1,14:10,2,6,ATL 21,0,0,Michael Turner left tackle for 3 yards (tackle by Domata Peko),0.080,-0.370
1,13:33,3,3,ATL 24,0,0,Matt Ryan pass complete short middle to Roddy White for 46 yards (tackle by Nedu Ndukwe),-0.370,3.580
1,13:07,1,10,CIN 30,0,0,Jason Snelling left end for -2 yards (tackle by Keith Rivers),3.580,2.760
1,12:29,2,12,CIN 32,0,0,Matt Ryan pass complete deep left to Roddy White for 18 yards (tackle by Chris Crocker),2.760,4.650
1,11:52,1,10,CIN 14,0,0,Michael Turner right tackle for 7 yards (tackle by Chris Crocker),4.650,5.280
1,11:11,2,3,CIN 7,0,0,"Michael Turner middle for -3 yards (tackle by Chris Crocker). Penalty on Tank Johnson: Defensive Offside, 4 yards (no play)",5.280,6.510
1,10:56,1,3,CIN 3,0,0,Jason Snelling middle for no gain (tackle by Robert Geathers),6.510,5.530
1,10:14,2,3,CIN 3,0,6,"Matt Ryan pass complete short middle to Brian Finneran for 3 yards, touchdown",5.530,7.000
1,10:14,,,CIN 2,0,7,Matt Bryant kicks extra point good,0.000,0.000
1,10:14,,,ATL 30,0,7,"Michael Koenen kicks off 65 yards, returned by Bernard Scott for 24 yards (tackle by Erik Coleman)",0.000,0.870
1,10:04,1,10,CIN 29,0,7,Carson Palmer pass complete short left to Chad Johnson for 6 yards,0.870,1.140
1,9:38,2,4,CIN 35,0,7,Cedric Benson right tackle for 2 yards (tackle by William Moore),1.140,0.700
1,8:59,3,2,CIN 37,0,7,Carson Palmer pass complete short left to Chad Johnson for 10 yards,0.700,2.060
1,8:40,1,10,CIN 47,0,7,Cedric Benson left tackle for 2 yards (tackle by Jamaal Anderson),2.060,1.790
1,8:13,2,8,CIN 49,0,7,Carson Palmer pass complete short right to Terrell Owens for 5 yards (tackle by Brent Grimes),1.790,1.750
1,7:27,3,3,ATL 46,0,7,Carson Palmer pass incomplete short left intended for Chad Johnson,1.750,0.200
1,7:22,4,3,ATL 46,0,7,"Kevin Huber punts 37 yards, fair catch by Eric Weems",0.200,0.380
1,7:15,1,10,ATL 9,0,7,Michael Turner middle for 1 yard (tackle by Frostee Rucker),-0.380,-0.710
1,6:41,2,9,ATL 10,0,7,"Matt Ryan left end for no gain. Penalty on Harvey Dahl: Offensive Holding, 5 yards (no play)",-0.710,-1.070
1,6:12,2,14,ATL 5,0,7,Matt Ryan pass complete short middle to Michael Jenkins for 6 yards (tackle by Nedu Ndukwe and Dhani Jones),-1.070,-1.190
1,5:39,3,8,ATL 11,0,7,Matt Ryan pass complete short middle to Jason Snelling for 2 yards (tackle by Dhani Jones),-1.190,-2.490
1,5:02,4,6,ATL 13,0,7,"Michael Koenen punts 52 yards, returned by Adam Jones for 5 yards (tackle by Brian Williams)",-2.490,-1.600
1,4:46,1,10,CIN 40,0,7,Cedric Benson right end for 3 yards (tackle by Mike Peterson and Vance Walker),1.600,1.460
1,4:15,2,7,CIN 43,0,7,Cedric Benson right end for 11 yards (tackle by Thomas DeCoud),1.460,2.520
1,3:37,1,10,ATL 46,0,7,Carson Palmer pass incomplete deep left intended for Terrell Owens,2.520,1.980
1,3:31,2,10,ATL 46,0,7,Cedric Benson right end for 8 yards (tackle by Thomas DeCoud and Brian Williams),1.980,2.350
1,2:50,3,2,ATL 38,0,7,Cedric Benson right tackle for 9 yards (tackle by Brian Williams),2.350,3.640
1,2:06,1,10,ATL 29,0,7,"Carson Palmer pass incomplete deep middle intended for Jordan Shipley. Penalty on Chris Owens: Defensive Pass Interference, 26 yards (no play)",3.640,6.510
1,2:00,1,3,ATL 3,0,7,Cedric Benson left end for -1 yards (tackle by Chauncey Davis),6.510,5.340
1,1:15,2,4,ATL 4,0,7,Cedric Benson left end for 2 yards (tackle by Erik Coleman and Stephen Nicholas),5.340,4.950
1,0:30,3,2,ATL 2,0,7,Carson Palmer pass incomplete short middle intended for Terrell Owens,4.950,3.250
1,0:26,4,2,ATL 2,3,7,Mike Nugent 20 yard field goal good,3.250,3.000
1,0:26,,,CIN 30,3,7,"Mike Nugent kicks off 74 yards, returned by Eric Weems for 23 yards (tackle by Quan Cosby)",0.000,0.150
1,0:19,1,10,ATL 19,3,7,"Matt Ryan pass incomplete short left intended for Michael Jenkins. Penalty on CIN: Defensive 12 On-field, 5 yards (no play)",0.150,0.940
1,0:14,1,5,ATL 24,3,7,Michael Turner right end for 9 yards (tackle by Dhani Jones),0.940,1.140
Quarter,Time,Down,ToGo,Location,CIN,ATL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,ATL 33,3,7,Matt Ryan pass complete deep right to Roddy White for 23 yards (tackle by Adam Jones),1.140,2.650
2,14:47,1,10,CIN 44,3,7,Michael Turner left end for 14 yards (tackle by Brandon Johnson),2.650,3.580
2,14:12,1,10,CIN 30,3,7,Matt Ryan pass incomplete deep left intended for Michael Jenkins,3.580,3.030
2,14:08,2,10,CIN 30,3,7,Michael Turner right tackle for 3 yards (tackle by Morgan Trent),3.030,2.740
2,13:39,3,7,CIN 27,3,7,Matt Ryan pass incomplete short right intended for Tony Gonzalez (defended by Brandon Johnson),2.740,1.670
2,13:35,4,7,CIN 27,3,10,Matt Bryant 45 yard field goal good,1.670,3.000
2,13:35,,,ATL 30,3,10,"Michael Koenen kicks off 70 yards, returned by Bernard Scott for 22 yards (tackle by Chris Owens)",0.000,0.410
2,13:23,1,10,CIN 22,3,10,Carson Palmer pass incomplete short right intended for Terrell Owens (defended by Brent Grimes),0.410,-0.130
2,13:18,2,10,CIN 22,3,10,Carson Palmer pass incomplete short middle intended for Cedric Benson (defended by Curtis Lofton),-0.130,-0.820
,,,,,,,"CIN challenged the pass completion ruling, and the original play was overturned.",,
2,13:13,3,10,CIN 22,3,10,Carson Palmer pass incomplete short right intended for Jermaine Gresham,-0.820,-1.900
