Quarter,Time,Tm,Detail,CIN,ATL
1.0,10:10,Falcons,Brian Finneran 3 yard pass from Matt Ryan (Matt Bryant kick),0,7
,0:22,Bengals,Mike Nugent 20 yard field goal,3,7
2.0,13:30,Falcons,Matt Bryant 45 yard field goal,3,10
,11:06,Falcons,Roddy White 43 yard pass from Matt Ryan (Matt Bryant kick),3,17
,1:05,Falcons,Michael Turner 2 yard rush (Matt Bryant kick),3,24
3.0,9:34,Bengals,Mike Nugent 33 yard field goal,6,24
,3:39,Bengals,Terrell Owens 19 yard pass from Carson Palmer (Mike Nugent kick),13,24
,1:38,Bengals,Jordan Shipley 64 yard pass from Carson Palmer (pass failed),19,24
,1:16,Bengals,Adam Jones 59 yard defensive fumble return (run failed),25,24
4.0,13:02,Falcons,Roddy White 11 yard pass from Matt Ryan (Roddy White pass from Matt Ryan),25,32
,4:33,Falcons,Michael Turner 3 yard rush (Matt Bryant kick),25,39
,1:33,Bengals,Chad Johnson 8 yard pass from Carson Palmer (Mike Nugent kick),32,39
