Unnamed: 0,CIN,ATL
First Downs,28,22
Rush-Yds-TDs,21-84-0,30-153-2
Cmp-Att-Yd-TD-INT,36-50-412-3-0,24-33-299-3-1
Sacked-Yards,3-27,0-0
Net Pass Yards,385,299
Total Yards,469,452
Fumbles-Lost,2-1,1-1
Turnovers,1,2
Penalties-Yards,7-36,3-41
Third Down Conv.,7-12,7-13
Fourth Down Conv.,0-0,1-1
Time of Possession,30:22,29:38
