Quarter,Time,Down,ToGo,Location,WAS,NYJ,Detail,EPB,EPA
2,15:00,1,10,NYJ 43,3,10,Jason Campbell pass incomplete short right intended for Chris Cooley,2.720,2.180
2,14:54,2,10,NYJ 43,3,10,Clinton Portis right guard for 1 yard (tackle by Abram Elam and Shaun Ellis),2.180,1.620
2,14:13,3,9,NYJ 42,3,10,Jason Campbell pass incomplete short left intended for Chris Cooley,1.620,0.460
2,14:06,4,9,NYJ 42,3,10,"Penalty on Rock Cartwright: Delay of Game, 5 yards (no play)",0.460,0.130
2,14:06,4,14,NYJ 47,3,10,Derrick Frost punts 27 yards,0.130,-0.280
2,13:59,1,10,NYJ 20,3,10,Kellen Clemens pass incomplete deep middle intended for Brad Smith (defended by LaRon Landry),0.280,-0.270
2,13:53,2,10,NYJ 20,3,10,Thomas Jones left end for 3 yards (tackle by Fred Smoot),-0.270,-0.560
2,13:07,3,7,NYJ 23,3,10,"Kellen Clemens up the middle for 18 yards. Penalty on London Fletcher: Unnecessary Roughness, 15 yards",-0.560,2.650
2,12:44,1,10,WAS 44,3,10,Chris Davis left end for 3 yards (tackle by Sean Taylor),2.650,2.520
2,12:13,2,7,WAS 41,3,10,Kellen Clemens pass incomplete short left intended for Brad Smith,2.520,1.820
2,12:09,3,7,WAS 41,3,10,"Penalty on D'Brickashaw Ferguson: False Start, 5 yards (no play)",1.820,1.160
2,12:09,3,12,WAS 46,3,10,Kellen Clemens pass complete deep left to Jerricho Cotchery for 30 yards (tackle by Sean Taylor),1.160,4.510
2,11:34,1,10,WAS 16,3,10,Thomas Jones right tackle for 3 yards (tackle by Anthony Montgomery),4.510,4.390
2,10:54,2,7,WAS 13,3,10,Kellen Clemens pass complete short left to Jerricho Cotchery for 9 yards (tackle by Sean Taylor),4.390,6.280
2,10:12,1,4,WAS 4,3,10,Thomas Jones right guard for 3 yards (tackle by Kedric Golston and Demetric Evans),6.280,5.910
2,9:28,2,1,WAS 1,3,16,"Kellen Clemens pass complete short right to Joe Kowalewski for 1 yard, touchdown",5.910,7.000
2,,,,WAS 2,3,17,Mike Nugent kicks extra point good,0.000,0.000
2,,,,NYJ 30,3,17,"Mike Nugent kicks off 66 yards, returned by Rock Cartwright for 27 yards (tackle by David Bowens)",0.000,1.000
2,9:15,1,10,WAS 31,3,17,Clinton Portis right end for no gain (tackle by David Harris and Eric Hicks),1.000,0.460
2,8:46,2,10,WAS 31,3,17,Clinton Portis left end for 5 yards (tackle by Bryan Thomas and Eric Barton),0.460,0.430
2,8:08,3,5,WAS 36,3,17,Jason Campbell pass complete short middle to Chris Cooley for 21 yards (tackle by Hank Poteat),0.430,2.720
2,7:29,1,10,NYJ 43,3,17,Clinton Portis right tackle for 5 yards (tackle by Dewayne Robertson),2.720,2.850
2,7:01,2,5,NYJ 38,3,17,Clinton Portis left end for 15 yards (tackle by Andre Dyson),2.850,4.040
2,6:21,1,10,NYJ 23,3,17,Clinton Portis up the middle for 2 yards (tackle by David Harris),4.040,3.770
2,5:44,2,8,NYJ 21,3,17,Jason Campbell pass incomplete short left intended for Mike Sellers,3.770,3.070
2,5:38,3,8,NYJ 21,3,17,Jason Campbell pass incomplete short left intended for Chris Cooley. Penalty on Chris Samuels: Offensive Holding (Declined),3.070,2.060
2,5:33,4,8,NYJ 21,6,17,Shaun Suisham 40 yard field goal good,2.060,3.000
2,,,,WAS 30,6,17,"Shaun Suisham kicks onside 3 yards, recovered by Rock Cartwright (onside kick successful)",0.000,1.140
2,5:25,1,10,WAS 33,6,17,Clinton Portis left tackle for 4 yards (tackle by Abram Elam),1.140,1.130
2,4:49,2,6,WAS 37,6,17,Jason Campbell pass complete short left to Mike Sellers for 10 yards (tackle by David Harris),1.130,2.060
2,4:17,1,10,WAS 47,6,17,Clinton Portis up the middle for 18 yards (tackle by David Harris and Kerry Rhodes),2.060,3.250
2,3:41,1,10,NYJ 35,6,17,Clinton Portis right tackle for 3 yards (tackle by Abram Elam),3.250,3.110
2,3:08,2,7,NYJ 32,6,17,Clinton Portis right tackle for 9 yards (tackle by David Harris),3.110,4.040
2,2:28,1,10,NYJ 23,6,17,Ladell Betts left tackle for 3 yards (tackle by Eric Barton and David Harris),4.040,3.900
2,2:00,2,7,NYJ 20,6,17,Jason Campbell pass complete short left to Santana Moss for 12 yards (tackle by Andre Dyson),3.900,5.370
2,1:54,1,8,NYJ 8,6,17,Clinton Portis left end for 4 yards (tackle by Kenyon Coleman),5.370,5.340
2,1:12,2,4,NYJ 4,6,17,Clinton Portis up the middle for no gain (tackle by David Harris),5.340,4.490
2,1:04,,,,6,17,Timeout #1 by New York Jets,0.000,4.490
2,1:04,3,4,NYJ 4,6,17,Jason Campbell pass incomplete short left intended for Clinton Portis,4.490,3.030
2,0:58,4,4,NYJ 4,9,17,Shaun Suisham 22 yard field goal good,3.030,3.000
2,,,,WAS 30,,,"Shaun Suisham kicks off 53 yards, returned by Brad Smith for 20 yards (tackle by LaRon Landry). Penalty on Leigh Torrence: Offside on Free Kick, 5 yards",,
2,0:41,1,10,NYJ 42,9,17,Kellen Clemens pass complete to Chris Baker for 10 yards (tackle by Sean Taylor),1.730,2.390
2,0:41,1,10,WAS 48,9,17,Kellen Clemens pass complete short right to Thomas Jones for 12 yards (tackle by Sean Taylor),2.390,3.180
2,0:29,,,,9,17,Timeout #2 by New York Jets,0.000,3.180
2,0:16,1,10,WAS 36,9,17,Kellen Clemens pass incomplete short left intended for Justin McCareins,3.180,2.640
2,0:16,2,10,WAS 36,9,17,Kellen Clemens pass incomplete short left intended for Jerricho Cotchery,2.640,1.950
2,0:13,3,10,WAS 36,9,17,Kellen Clemens sacked by Rocky McIntosh for 0 yards,1.950,0.880
2,0:03,,,,9,17,Timeout #3 by New York Jets,0.000,0.000
2,0:03,,,,9,17,Timeout #1 by Washington Redskins,0.000,0.880
2,0:03,4,10,WAS 36,9,17,"Mike Nugent 54 yard field goal no good. , recovered by LaRon Landry at WAS-17 (tackle by James Dearth)",0.880,0.000
Quarter,Time,Down,ToGo,Location,WAS,NYJ,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NYJ 30,9,17,"Mike Nugent kicks off 67 yards, returned by Rock Cartwright for 28 yards (tackle by Abram Elam)",0.000,1.000
3,14:54,1,10,WAS 31,9,17,Clinton Portis left tackle for 1 yard (tackle by Dewayne Robertson and David Harris),1.000,0.600
3,14:18,2,9,WAS 32,9,17,Jason Campbell pass complete short middle to Antwaan Randle El for 14 yards (tackle by Kerry Rhodes),0.600,1.990
3,13:40,1,10,WAS 46,9,17,Jason Campbell pass complete short left to Santana Moss for 12 yards (tackle by Dewayne Robertson),1.990,2.790
3,13:08,1,10,NYJ 42,9,17,Clinton Portis right guard for 3 yards (tackle by David Harris),2.790,2.650
3,12:29,2,7,NYJ 39,9,17,Jason Campbell pass incomplete intended for James Thrash (defended by Andre Dyson),2.650,1.950
3,12:21,3,7,NYJ 39,9,17,Jason Campbell pass complete deep middle to Santana Moss for 16 yards (tackle by Abram Elam),1.950,4.040
3,11:44,1,10,NYJ 23,9,17,Clinton Portis up the middle for 1 yard (tackle by Hank Poteat and Dewayne Robertson),4.040,3.630
3,11:05,2,9,NYJ 22,9,17,Jason Campbell pass incomplete deep left intended for Antwaan Randle El (defended by Kerry Rhodes),3.630,2.940
3,10:59,3,9,NYJ 22,9,17,Jason Campbell pass incomplete short left intended for Santana Moss,2.940,1.990
3,10:54,4,9,NYJ 22,12,17,Shaun Suisham 40 yard field goal good,1.990,3.000
3,,,,WAS 30,12,17,"Shaun Suisham kicks off 57 yards, returned by Leon Washington for 19 yards (tackle by Khary Campbell)",0.000,1.070
3,10:42,1,10,NYJ 32,12,17,Kellen Clemens pass incomplete deep right intended for Leon Washington,1.070,0.530
3,10:37,2,10,NYJ 32,12,17,"Kellen Clemens pass complete short left to Jerricho Cotchery for 6 yards (tackle by London Fletcher). Penalty on NYJ: Illegal Shift, 5 yards (no play)",0.530,-0.150
3,10:06,2,15,NYJ 27,12,17,Kellen Clemens for 11 yards,-0.150,0.630
3,9:26,,,,12,17,Timeout #1 by New York Jets,0.000,0.630
3,9:26,3,4,NYJ 38,12,17,Kellen Clemens sacked by LaRon Landry for -8 yards,0.630,-1.370
3,9:04,4,12,NYJ 30,12,17,"Ben Graham punts 39 yards, returned by Antwaan Randle El for 7 yards (tackle by Brad Smith)",-1.370,-1.470
3,8:52,1,10,WAS 38,12,17,Jason Campbell sacked by Eric Barton for -7 yards,1.470,-0.020
3,8:18,2,17,WAS 31,12,17,Clinton Portis up the middle for 3 yards (tackle by Eric Hicks),-0.020,-0.290
3,7:40,3,14,WAS 34,12,17,Jason Campbell for 29 yards (tackle by David Harris),-0.290,3.120
3,7:01,1,10,NYJ 37,12,17,Clinton Portis for 11 yards,3.120,3.840
3,6:33,1,10,NYJ 26,12,17,Clinton Portis left tackle for 2 yards (tackle by Eric Hicks),3.840,3.570
3,5:53,2,8,NYJ 24,12,17,Jason Campbell pass incomplete short left intended for Clinton Portis is intercepted by Eric Barton at NYJ-18 and returned for 1 yard (tackle by Clinton Portis),3.570,-0.150
3,5:46,1,10,NYJ 19,12,17,Thomas Jones right guard for 4 yards (tackle by Rocky McIntosh),0.150,0.210
3,5:11,2,6,NYJ 23,12,17,Thomas Jones right tackle for 7 yards (tackle by Rocky McIntosh),0.210,0.940
3,4:34,1,10,NYJ 30,12,17,Kellen Clemens pass incomplete short left intended for Jerricho Cotchery,0.940,0.390
3,4:29,2,10,NYJ 30,12,17,Thomas Jones right guard for 5 yards (tackle by Rocky McIntosh),0.390,0.370
3,3:51,3,5,NYJ 35,12,17,Kellen Clemens pass complete short left to Brad Smith for 11 yards (tackle by Rocky McIntosh),0.370,1.990
3,3:23,1,10,NYJ 46,12,17,Kellen Clemens pass incomplete short left intended for Joe Kowalewski,1.990,1.450
3,3:17,2,10,NYJ 46,12,17,Leon Washington up the middle for 4 yards (tackle by Phillip Daniels),1.450,1.290
3,2:39,3,6,,12,17,Kellen Clemens pass complete short right to Leon Washington for 7 yards (tackle by Rocky McIntosh),1.290,2.720
3,1:56,1,10,WAS 43,12,17,Jerricho Cotchery right end for 11 yards (tackle by Sean Taylor),2.720,3.450
3,1:22,1,10,WAS 32,12,17,Kellen Clemens pass complete short left to Chris Baker for 9 yards (tackle by Rocky McIntosh),3.450,4.120
3,0:49,2,1,WAS 23,12,17,Kellen Clemens up the middle for 3 yards (tackle by Rocky McIntosh),4.120,4.240
3,0:20,1,10,WAS 20,12,17,"Leon Washington left end for 17 yards (tackle by Sean Taylor). Penalty on D'Brickashaw Ferguson: Offensive Holding, 10 yards (no play)",4.240,3.580
Quarter,Time,Down,ToGo,Location,WAS,NYJ,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,20,WAS 30,12,17,Kellen Clemens pass complete short left to Leon Washington for 5 yards (tackle by LaRon Landry),3.580,3.020
4,14:13,2,15,WAS 25,12,17,Kellen Clemens pass incomplete deep left intended for Brad Smith,3.020,2.340
4,14:07,3,15,WAS 25,12,17,"Kellen Clemens pass complete short right to Jerricho Cotchery for 7 yards (tackle by Shawn Springs). Jerricho Cotchery fumbles (forced by Shawn Springs), recovered by LaRon Landry at WAS-21 and returned for 15 yards (tackle by Thomas Jones)",2.340,-1.330
,,,,,,,"NYJ challenged the pass completion ruling, and the play was upheld.",,
4,13:55,1,10,WAS 36,12,17,Jason Campbell pass complete short right to Santana Moss for 9 yards (tackle by Darrelle Revis),1.330,2.010
4,13:24,2,1,WAS 45,12,17,Clinton Portis left tackle for 32 yards (tackle by Abram Elam),2.010,4.040
4,12:55,1,10,NYJ 23,12,17,Ladell Betts left tackle for 8 yards (tackle by Kenyon Coleman and Hank Poteat),4.040,4.750
4,12:26,2,2,NYJ 15,12,17,Ladell Betts left guard for 6 yards (tackle by Eric Barton),4.750,5.140
4,11:50,1,9,NYJ 9,12,17,Ladell Betts left tackle for 8 yards (tackle by David Harris and Abram Elam),5.140,5.910
4,11:11,2,1,NYJ 1,18,17,"Clinton Portis right guard for 1 yard, touchdown",5.910,7.000
4,,,,,20,17,"Two Point Attempt: Jason Campbell pass complete to Antwaan Randle El, conversion succeeds",1.000,1.000
4,,,,WAS 30,20,17,"Shaun Suisham kicks off 65 yards, returned by Brad Smith for 25 yards (tackle by John Eubanks)",0.000,0.940
4,10:59,1,10,NYJ 30,20,17,Kellen Clemens pass complete short right to Justin McCareins for 6 yards (tackle by Shawn Springs),0.940,1.200
4,10:16,2,4,NYJ 36,20,17,Leon Washington for 3 yards (tackle by London Fletcher and Kedric Golston),1.200,0.890
4,10:14,3,1,NYJ 39,20,17,Kellen Clemens up the middle for 1 yard (tackle by London Fletcher),0.890,1.600
4,9:50,1,10,NYJ 40,20,17,Kellen Clemens pass incomplete short right intended for Brad Smith,1.600,1.050
4,9:47,2,10,NYJ 40,20,17,Kellen Clemens pass incomplete short right intended for Chris Baker,1.050,0.370
4,9:43,3,10,NYJ 40,20,17,Kellen Clemens pass incomplete short right intended for Wallace Wright. Penalty on Adrien Clarke: Offensive Holding (Declined),0.370,-0.720
4,9:35,4,10,NYJ 40,20,17,Ben Graham punts 57 yards,-0.720,0.380
4,9:24,1,10,WAS 3,20,17,Clinton Portis left tackle for 5 yards (tackle by David Harris),-0.380,-0.420
4,8:49,2,5,WAS 8,20,17,Clinton Portis right guard for 3 yards (tackle by Shaun Ellis and David Harris),-0.420,-0.480
4,8:11,3,2,WAS 11,20,17,Clinton Portis left tackle for 3 yards (tackle by David Harris and Kenyon Coleman),-0.480,-0.280
4,7:30,1,10,WAS 14,20,17,Clinton Portis left guard for 4 yards (tackle by David Harris and Sione Pouha),-0.280,-0.210
4,6:47,2,6,WAS 18,20,17,Ladell Betts up the middle for 3 yards (tackle by Bryan Thomas and Eric Barton),-0.210,-0.560
4,6:04,3,3,WAS 21,20,17,Clinton Portis left guard for 2 yards (tackle by David Harris),-0.560,-1.830
4,5:35,4,1,WAS 23,20,17,"Derrick Frost punts 43 yards, muffed catch by Leon Washington, recovered by Leon Washington and returned for -1 yards (tackle by Mike Sellers). Penalty on Vernon Fox: Offensive Holding, 10 yards, Penalty on Mike Sellers: Ineligible Downfield Kick (Declined) (no play)",-1.830,-2.490
4,5:26,4,11,WAS 13,20,17,"Derrick Frost punts 55 yards, returned by Leon Washington for 3 yards (tackle by Khary Campbell). Penalty on Rashad Washington: Illegal Block Above the Waist, 10 yards",-2.490,-0.610
4,5:13,1,10,NYJ 25,20,17,Thomas Jones left end for no gain (tackle by London Fletcher),0.610,0.060
4,4:32,2,10,NYJ 25,20,17,Kellen Clemens left end for 8 yards (tackle by Phillip Daniels),0.060,0.430
4,3:49,3,2,NYJ 33,20,17,Kellen Clemens pass complete short left to Jerricho Cotchery for 5 yards (tackle by Fred Smoot),0.430,1.470
4,3:10,1,10,NYJ 38,20,17,Kellen Clemens pass incomplete deep right intended for Brad Smith,1.470,0.920
4,3:04,2,10,NYJ 38,20,17,Kellen Clemens pass incomplete short left intended for Brad Smith,0.920,0.230
4,3:00,3,10,NYJ 38,20,17,Kellen Clemens pass complete deep left to Justin McCareins for 20 yards (tackle by Rocky McIntosh),0.230,2.790
4,2:52,1,10,WAS 42,20,17,Thomas Jones right tackle for 1 yard (tackle by London Fletcher and Pierson Prioleau),2.790,2.380
4,2:12,2,9,WAS 41,20,17,Kellen Clemens pass complete short right to Brad Smith for 5 yards (tackle by Shawn Springs),2.380,2.340
4,2:00,3,4,WAS 36,20,17,Kellen Clemens pass complete short right to Leon Washington for 5 yards (tackle by London Fletcher),2.340,3.510
4,1:37,1,10,WAS 31,20,17,Leon Washington up the middle for 4 yards (tackle by Chris Wilson and Demetric Evans),3.510,3.510
4,1:15,2,6,WAS 27,20,17,Kellen Clemens up the middle for 1 yard (tackle by Demetric Evans),3.510,2.940
4,0:52,3,5,WAS 26,20,17,Kellen Clemens for 6 yards (tackle by Phillip Daniels),2.940,4.240
4,0:44,1,10,WAS 20,20,17,Kellen Clemens pass incomplete short left intended for Justin McCareins,4.240,3.690
4,0:41,2,10,WAS 20,20,17,Kellen Clemens pass complete short right to Chris Baker for 9 yards (tackle by London Fletcher),3.690,4.590
4,0:21,3,1,WAS 11,20,17,Kellen Clemens pass incomplete short right intended for Jerricho Cotchery,4.590,2.850
4,0:15,4,1,WAS 11,20,20,Mike Nugent 30 yard field goal good,2.850,3.000
4,,,,NYJ 30,20,20,"Mike Nugent kicks off 70 yards, touchback",0.000,0.280
4,0:10,1,10,WAS 20,20,20,Ladell Betts right guard for 9 yards (tackle by David Harris and Dewayne Robertson),0.280,0.950
4,0:02,,,,20,20,Timeout #1 by Washington Redskins,0.000,0.000
4,0:02,,,,20,20,Timeout #3 by New York Jets,0.000,0.950
4,0:02,2,1,WAS 29,20,20,Ladell Betts right tackle for 20 yards (tackle by David Harris),0.950,0.000
Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime
Quarter,Time,Down,ToGo,Location,WAS,NYJ,Detail,EPB,EPA
,,,,,,,"Jets won the coin toss, Jets to receive the overtime kickoff.",,
OT,,,,WAS 30,20,20,"Shaun Suisham kicks off 61 yards, returned by Leon Washington for 20 yards (tackle by Pierson Prioleau). Penalty on Rashad Washington: Offensive Holding, 10 yards",0.000,0.150
OT,14:54,1,10,NYJ 19,20,20,Kellen Clemens pass complete deep middle to Jerricho Cotchery for 39 yards (tackle by LaRon Landry),0.150,2.790
OT,14:10,1,10,WAS 42,20,20,Thomas Jones right tackle for 3 yards (tackle by Rocky McIntosh and Anthony Montgomery),2.790,2.650
OT,13:27,2,7,WAS 39,20,20,Kellen Clemens pass incomplete short right intended for Jerricho Cotchery,2.650,1.950
OT,13:23,3,7,WAS 39,20,20,Kellen Clemens pass incomplete short left intended for Jerricho Cotchery,1.950,0.660
OT,13:19,4,7,WAS 39,20,20,"Ben Graham punts 29 yards, fair catch by Antwaan Randle El",0.660,0.380
OT,13:11,1,10,WAS 10,20,20,Clinton Portis left guard for 4 yards (tackle by Kenyon Coleman),-0.380,-0.460
OT,12:41,2,6,WAS 14,20,20,Clinton Portis left guard for 2 yards (tackle by David Harris and Dewayne Robertson),-0.460,-0.720
OT,12:01,3,4,WAS 16,20,20,Jason Campbell pass complete short left to Chris Cooley for 17 yards (tackle by Kerry Rhodes),-0.720,1.140
OT,11:22,1,10,WAS 33,20,20,Jason Campbell pass incomplete deep right intended for Santana Moss,1.140,0.590
OT,11:14,2,10,WAS 33,20,20,Clinton Portis right end for 10 yards (tackle by Hank Poteat),0.590,1.800
OT,10:35,1,10,WAS 43,20,20,Clinton Portis right guard for 2 yards (tackle by David Harris and Matt Chatham),1.800,1.520
OT,9:57,2,8,WAS 45,20,20,Clinton Portis left end for 17 yards (tackle by Andre Dyson),1.520,3.050
OT,9:30,,,,20,20,Timeout #1 by New York Jets,0.000,3.050
OT,9:30,1,10,NYJ 38,20,20,Ladell Betts right guard for 2 yards (tackle by Abram Elam and Bryan Thomas),3.050,2.780
OT,8:52,2,8,NYJ 36,20,20,Ladell Betts left tackle for 5 yards (tackle by David Harris),2.780,2.740
OT,8:06,3,3,NYJ 31,20,20,Clinton Portis left end for 2 yards (tackle by Hank Poteat),2.740,1.620
OT,7:48,,,,20,20,Timeout #2 by New York Jets,0.000,1.620
OT,7:48,4,1,NYJ 29,23,20,Shaun Suisham 46 yard field goal good,1.620,3.000
End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime
