Quarter,Time,Tm,Detail,WAS,NYJ
1,14:47,Jets,Leon Washington 86 yard kickoff return (Mike Nugent kick),0,7
,9:54,Redskins,Shaun Suisham 46 yard field goal,3,7
,1:58,Jets,Mike Nugent 29 yard field goal,3,10
2,9:21,Jets,Joe Kowalewski 1 yard pass from Kellen Clemens (Mike Nugent kick),3,17
,5:28,Redskins,Shaun Suisham 40 yard field goal,6,17
,0:55,Redskins,Shaun Suisham 22 yard field goal,9,17
3,10:49,Redskins,Shaun Suisham 40 yard field goal,12,17
4,11:06,Redskins,Clinton Portis 1 yard rush (Antwaan Randle El pass from Jason Campbell),20,17
,0:10,Jets,Mike Nugent 30 yard field goal,20,20
OT,7:43,Redskins,Shaun Suisham 46 yard field goal,23,20
