Unnamed: 0,WAS,NYJ
First Downs,23,23
Rush-Yds-TDs,48-296-1,26-124-0
Cmp-Att-Yd-TD-INT,12-23-142-0-1,23-42-226-1-0
Sacked-Yards,1-7,3-12
Net Pass Yards,135,214
Total Yards,431,338
Fumbles-Lost,1-0,1-1
Turnovers,1,1
Penalties-Yards,5-50,5-40
Third Down Conv.,6-13,11-18
Fourth Down Conv.,0-0,0-0
Time of Possession,36:13,31:04
