Quarter,Time,Down,ToGo,Location,DET,MIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Lions won the coin toss, Lions to receive the opening kickoff.",,
1,15:00,,,MIN 30,0,0,"Ryan Longwell kicks off 70 yards, returned by Aveion Cason for 18 yards (tackle by Marcus McCauley)",0.000,0.040
1,14:56,1,10,DET 18,0,0,Jon Kitna pass complete short right to Mike Furrey for 11 yards (tackle by Marcus McCauley),0.040,0.870
1,14:14,1,10,DET 29,0,0,Jon Kitna pass complete short middle to Roy E. Williams for 12 yards (tackle by E.J. Henderson),0.870,1.660
1,13:36,1,10,DET 41,0,0,Jon Kitna pass incomplete intended for Roy E. Williams (defended by Cedric Griffin),1.660,1.120
1,13:30,2,10,DET 41,0,0,Jon Kitna pass complete short left to Shaun McDonald for 6 yards (tackle by Cedric Griffin),1.120,1.220
1,12:57,3,4,DET 47,0,0,Jon Kitna pass incomplete intended for Shaun McDonald (defended by Kenechi Udeze),1.220,-0.260
1,12:53,4,4,DET 47,0,0,Nick Harris punts 40 yards,-0.260,0.320
1,12:41,1,10,MIN 13,0,0,Adrian Peterson right guard for no gain (tackle by Paris Lenon),-0.320,-0.770
1,12:05,2,10,MIN 13,0,0,Tarvaris Jackson sacked by Jared DeVries for -4 yards,-0.770,-1.890
1,11:19,3,14,MIN 9,0,0,Chester Taylor up the middle for 15 yards (tackle by Paris Lenon),-1.890,0.540
1,10:39,1,10,MIN 24,0,0,Tarvaris Jackson pass complete short middle to Bobby Wade for 12 yards (tackle by Fernando Bryant),0.540,1.330
1,10:06,1,10,MIN 36,0,0,Adrian Peterson left tackle for 3 yards (tackle by Ernie Sims),1.330,1.200
1,9:25,2,7,MIN 39,0,0,Tarvaris Jackson pass complete short right to Bobby Wade for 17 yards (tackle by Fernando Bryant),1.200,2.650
1,8:37,1,10,DET 44,0,0,Adrian Peterson up the middle for 28 yards (tackle by Ernie Sims),2.650,4.510
