Unnamed: 0,DET,MIN
First Downs,14,29
Rush-Yds-TDs,7-23-0,39-216-3
Cmp-Att-Yd-TD-INT,27-35-260-1-0,19-26-231-2-1
Sacked-Yards,4-30,1-4
Net Pass Yards,230,227
Total Yards,253,443
Fumbles-Lost,5-1,0-0
Turnovers,1,1
Penalties-Yards,6-48,4-25
Third Down Conv.,3-10,6-10
Fourth Down Conv.,1-1,1-1
Time of Possession,22:58,37:02
