Unnamed: 0,NYG,GNB
First Downs,24,13
Rush-Yds-TDs,39-134-2,14-28-0
Cmp-Att-Yd-TD-INT,21-40-251-0-0,19-35-236-2-2
Sacked-Yards,2-8,0-0
Net Pass Yards,243,236
Total Yards,377,264
Fumbles-Lost,5-1,1-0
Turnovers,1,2
Penalties-Yards,6-50,7-37
Third Down Conv.,6-16,1-10
Fourth Down Conv.,0-1,0-0
Time of Possession,40:01,22:34
