Unnamed: 0,OAK,TEN
First Downs,14,11
Rush-Yds-TDs,27-92-0,36-192-1
Cmp-Att-Yd-TD-INT,15-32-167-0-1,6-14-42-0-0
Sacked-Yards,5-24,2-16
Net Pass Yards,143,26
Total Yards,235,218
Fumbles-Lost,4-1,1-0
Turnovers,2,0
Penalties-Yards,14-100,7-62
Third Down Conv.,5-16,3-13
Fourth Down Conv.,0-1,0-0
Time of Possession,32:37,27:23
