Quarter,Time,Tm,Detail,OAK,TEN
1.0,10:33,Raiders,Sebastian Janikowski 50 yard field goal,3,0
,1:13,Titans,Rob Bironas 35 yard field goal,3,3
2.0,5:18,Raiders,Sebastian Janikowski 43 yard field goal,6,3
,0:00,Raiders,Sebastian Janikowski 54 yard field goal,9,3
3.0,2:24,Titans,Chris Henry 24 yard rush (Rob Bironas kick),9,10
4.0,11:22,Titans,Rob Bironas 23 yard field goal,9,13
