Quarter,Time,Down,ToGo,Location,JAX,CHI,Detail,EPB,EPA
1,6:00,1,10,CHI 25,3,7,Matt Forte right guard for 26 yards (tackle by Reggie Nelson and Drayton Florence),0.610,2.320
1,5:13,1,10,JAX 49,3,7,Kyle Orton pass complete short right to Devin Hester for 19 yards (tackle by Brian Williams),2.320,3.580
1,4:44,1,10,JAX 30,3,7,Kyle Orton pass complete short right to Rashied Davis for 6 yards (tackle by Brian Williams),3.580,3.840
1,4:04,2,4,JAX 24,3,7,Matt Forte right guard for -1 yards (tackle by Reggie Hayward),3.840,3.010
1,3:24,3,5,JAX 25,3,7,Matt Forte left tackle for 5 yards (tackle by Daryl Smith). Penalty on Rob Meier: Defensive Offside (Declined),3.010,4.240
1,3:03,1,10,JAX 20,3,7,Matt Forte right tackle for 3 yards (tackle by Justin Durant),4.240,4.120
1,2:27,2,7,JAX 17,3,7,Kyle Orton pass incomplete deep middle intended for Desmond Clark,4.120,3.360
1,2:22,3,7,JAX 17,3,7,Kyle Orton pass complete short left to Marty Booker for 12 yards (tackle by Gerald Sensabaugh),3.360,6.060
1,1:42,1,5,JAX 5,3,7,Matt Forte left guard for 1 yard (tackle by Rob Meier),6.060,5.340
1,1:10,2,4,JAX 4,3,7,Kyle Orton pass incomplete short right intended for Rashied Davis,5.340,4.490
1,1:03,3,4,JAX 4,3,7,"Penalty on Roberto Garza: False Start, 5 yards (no play)",4.490,3.360
1,1:03,3,9,JAX 9,3,7,Kyle Orton pass complete short middle to Greg Olsen for 5 yards (tackle by Daryl Smith),3.360,3.030
1,0:24,4,4,JAX 4,3,10,Robbie Gould 22 yard field goal good,3.030,3.000
1,,,,CHI 30,3,10,"Robbie Gould kicks off 62 yards, returned by Maurice Jones-Drew for 23 yards (tackle by Israel Idonije)",0.000,1.000
1,0:14,1,10,JAX 31,3,10,David Garrard pass complete short right to Maurice Jones-Drew for 4 yards (tackle by Brian Urlacher),1.000,1.000
Quarter,Time,Down,ToGo,Location,JAX,CHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,6,JAX 35,3,10,Fred Taylor left guard for 3 yards (tackle by Mike Brown),1.000,0.700
2,14:17,3,3,JAX 38,3,10,David Garrard pass incomplete short left intended for Jerry Porter (defended by Corey Graham),0.700,-0.850
2,14:13,4,3,JAX 38,3,10,Steve Weatherford punts 47 yards,-0.850,0.220
2,14:04,1,10,CHI 15,3,10,Matt Forte right guard for 13 yards (tackle by Gerald Sensabaugh),-0.220,0.810
2,13:30,1,10,CHI 28,3,10,Kyle Orton pass incomplete deep left intended for Brandon Lloyd,0.810,0.260
2,13:24,2,10,CHI 28,3,10,Matt Forte right end for 4 yards (tackle by Daryl Smith),0.260,0.100
2,12:44,3,6,CHI 32,3,10,Kyle Orton pass complete short right to Greg Olsen for 25 yards (tackle by Brian Witherspoon),0.100,2.720
2,12:14,1,10,JAX 43,3,10,Matt Forte right tackle for 1 yard (tackle by Paul Spicer),2.720,2.310
2,11:37,2,9,JAX 42,3,10,Kyle Orton pass incomplete short right intended for Greg Olsen,2.310,1.620
2,11:32,3,9,JAX 42,3,10,Kyle Orton pass incomplete short left intended for Matt Forte,1.620,0.460
2,11:27,4,9,JAX 42,3,10,Brad Maynard punts 34 yards,0.460,0.380
2,11:21,1,10,JAX 8,3,10,Maurice Jones-Drew up the middle for 4 yards (tackle by Anthony Adams and Corey Graham),-0.380,-0.490
2,10:46,2,6,JAX 12,3,10,Maurice Jones-Drew right guard for 5 yards (tackle by Brian Urlacher),-0.490,-0.370
2,10:06,3,1,JAX 17,3,10,Maurice Jones-Drew left guard for no gain (tackle by Anthony Adams),-0.370,-2.320
2,9:10,4,1,JAX 17,3,10,Steve Weatherford punts 36 yards,-2.320,-2.060
2,9:02,1,10,CHI 47,3,10,Kyle Orton sacked by Paul Spicer for -9 yards,2.060,0.300
2,8:27,2,19,CHI 38,3,10,Adrian Peterson left end for 8 yards (tackle by Daryl Smith),0.300,0.700
2,7:39,3,11,CHI 46,3,10,Kyle Orton pass incomplete short middle intended for Devin Hester (defended by Derrick Harvey),0.700,-0.320
2,7:34,4,11,CHI 46,3,10,Brad Maynard punts 48 yards,-0.320,0.380
2,7:23,1,10,JAX 6,3,10,Fred Taylor left guard for 6 yards (tackle by Anthony Adams and Kevin Payne),-0.380,-0.340
2,6:43,2,4,JAX 12,3,10,Fred Taylor left tackle for no gain (tackle by Mike Brown),-0.340,-0.720
2,6:05,3,4,JAX 12,3,10,Maurice Jones-Drew right guard for 2 yards (tackle by Brian Urlacher),-0.720,-2.470
2,5:15,4,2,JAX 14,3,10,"Penalty on Steve Weatherford: Delay of Game, 5 yards (no play)",-2.470,-2.490
2,5:06,4,7,JAX 9,3,10,Steve Weatherford punts 35 yards,-2.490,-4.110
2,4:53,1,10,JAX 22,3,10,Matt Forte left tackle for 2 yards (tackle by Reggie Hayward),4.110,3.830
2,4:18,2,8,JAX 20,3,10,Matt Forte left guard for -5 yards (tackle by Derrick Harvey),3.830,2.480
2,3:33,3,13,JAX 25,3,10,Kyle Orton pass complete short right to Matt Forte for 7 yards (tackle by Brian Williams),2.480,2.270
2,2:50,4,6,JAX 18,3,13,Robbie Gould 36 yard field goal good,2.270,3.000
2,,,,CHI 30,3,13,"Robbie Gould kicks off 65 yards, returned by Brian Witherspoon for 21 yards (tackle by Adrian Peterson)",0.000,0.670
2,2:36,1,10,JAX 26,3,13,David Garrard pass incomplete deep left intended for Marcedes Lewis (defended by Nick Roach),0.670,0.130
2,2:30,2,10,JAX 26,3,13,Maurice Jones-Drew right guard for 14 yards (tackle by Charles Tillman),0.130,1.600
2,2:00,1,10,JAX 40,3,13,David Garrard pass complete short right to Maurice Jones-Drew for 1 yard (tackle by Marcus Harrison),1.600,1.190
2,1:34,2,9,JAX 41,3,13,David Garrard pass incomplete short middle intended for Marcedes Lewis,1.190,0.500
2,1:31,3,9,JAX 41,3,13,David Garrard pass incomplete short middle intended for Maurice Jones-Drew (defended by Lance Briggs),0.500,-0.650
2,1:25,4,9,JAX 41,3,13,"Steve Weatherford punts 32 yards, muffed catch by Devin Hester, recovered by Devin Hester and returned for no gain",-0.650,-0.740
2,1:17,1,10,CHI 27,3,13,Kyle Orton pass complete short middle to Matt Forte for 7 yards (tackle by Brian Williams),0.740,1.140
2,0:58,2,3,CHI 34,3,13,Kyle Orton pass incomplete short middle intended for Rashied Davis,1.140,0.430
2,0:56,3,3,CHI 34,3,13,Kyle Orton pass complete short left to Matt Forte for 6 yards (tackle by Justin Durant),0.430,1.600
2,0:51,1,10,CHI 40,3,13,Kyle Orton pass complete deep middle to Devin Hester for 31 yards (tackle by Gerald Sensabaugh),1.600,3.640
2,0:42,,,,3,13,Timeout #1 by Chicago Bears,0.000,3.640
2,0:42,1,10,JAX 29,3,13,"Kyle Orton pass incomplete short right intended for Marty Booker. Penalty on Mike Peterson: Illegal Contact, 5 yards (no play)",3.640,3.970
2,0:38,1,10,JAX 24,3,13,Kyle Orton pass complete short right to Devin Hester for 2 yards (tackle by Brian Witherspoon),3.970,3.700
2,0:29,,,,3,13,Timeout #2 by Chicago Bears,0.000,3.700
2,0:29,2,8,JAX 22,3,13,Kyle Orton pass incomplete deep middle intended for Marty Booker (defended by Justin Durant),3.700,3.010
2,0:24,3,8,JAX 22,3,19,"Kyle Orton pass complete deep middle to Greg Olsen for 22 yards, touchdown",3.010,7.000
,,,,,,,"Replay Assistant challenged the runner broke the plane ruling, and the play was upheld.",,
2,,,,JAX 2,3,20,Robbie Gould kicks extra point good,0.000,0.000
2,,,,CHI 30,3,20,"Robbie Gould kicks off 60 yards, returned by Brian Witherspoon for 35 yards (tackle by Kellen Davis)",0.000,1.930
2,0:09,1,10,JAX 45,3,20,David Garrard pass complete short middle to Maurice Jones-Drew for 9 yards (tackle by Brian Urlacher),1.930,2.600
2,0:01,,,,3,20,Timeout #1 by Jacksonville Jaguars,0.000,2.600
2,0:01,2,1,CHI 46,3,20,David Garrard pass incomplete deep left intended for Greg Estandia,2.600,1.880
Quarter,Time,Down,ToGo,Location,JAX,CHI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,JAX 30,3,20,"Josh Scobee kicks off 62 yards, returned by Danieal Manning for 52 yards (tackle by Reggie Nelson)",0.000,2.920
3,14:51,1,10,JAX 40,3,20,Matt Forte left guard for 4 yards (tackle by Mike Peterson),2.920,2.910
3,14:18,2,6,JAX 36,3,20,Matt Forte left guard for 1 yard (tackle by John Henderson),2.910,2.340
3,13:34,3,5,JAX 35,3,20,Kyle Orton pass complete short left to Marty Booker for 4 yards,2.340,1.410
3,13:21,4,1,JAX 31,3,20,Matt Forte right tackle for 1 yard (tackle by Reggie Hayward),1.410,3.580
3,12:46,1,10,JAX 30,3,20,Kyle Orton pass incomplete deep middle intended for Devin Hester is intercepted by Gerald Sensabaugh at JAX-13 and returned for 13 yards (tackle by Greg Olsen),3.580,-0.670
3,12:37,1,10,JAX 26,3,20,David Garrard pass incomplete short middle intended for Reggie Williams (defended by Adewale Ogunleye),0.670,0.130
3,12:32,2,10,JAX 26,3,20,David Garrard sacked by Israel Idonije for -5 yards,0.130,-1.220
3,11:54,3,15,JAX 21,3,20,David Garrard pass incomplete short right intended for Dennis Northcutt (defended by Danieal Manning),-1.220,-1.960
3,11:46,4,15,JAX 21,3,20,"Steve Weatherford punts 44 yards, muffed catch by Devin Hester, recovered by Devin Hester and returned for no gain",-1.960,-1.140
3,11:37,1,10,CHI 33,3,20,Matt Forte right end for 3 yards (tackle by Daryl Smith),1.140,1.000
3,11:02,2,7,CHI 36,3,20,Matt Forte left guard for 1 yard (tackle by Paul Spicer),1.000,0.430
3,10:21,3,6,CHI 37,3,20,Kyle Orton pass incomplete short middle intended for Devin Hester,0.430,-0.910
3,10:17,4,6,CHI 37,3,20,"Brad Maynard punts 49 yards, returned by Brian Witherspoon for 1 yard (tackle by Trumaine McBride)",-0.910,0.220
3,10:07,1,10,JAX 15,3,20,David Garrard pass complete short right to Reggie Williams for 4 yards (tackle by Nick Roach),-0.220,-0.110
3,9:20,2,6,JAX 19,3,20,Maurice Jones-Drew right tackle for 2 yards (tackle by Adewale Ogunleye and Brian Urlacher),-0.110,-0.630
3,8:40,3,4,JAX 21,3,20,David Garrard pass complete short right to Matt Jones for 13 yards (tackle by Charles Tillman),-0.630,1.200
3,7:57,1,10,JAX 34,3,20,David Garrard pass incomplete short middle intended for Matt Jones (defended by Mark Anderson),1.200,0.660
3,7:52,2,10,JAX 34,3,20,Maurice Jones-Drew left guard for 10 yards (tackle by Kevin Payne),0.660,1.860
3,7:24,1,10,JAX 44,3,20,David Garrard pass complete deep left to Marcedes Lewis for 27 yards (tackle by Nick Roach),1.860,3.640
3,6:59,1,10,CHI 29,3,20,Fred Taylor left guard for 8 yards (tackle by Lance Briggs and Brian Urlacher),3.640,4.180
3,6:20,2,2,CHI 21,3,20,Fred Taylor left guard for no gain (tackle by Adewale Ogunleye),4.180,3.470
3,5:36,3,2,CHI 21,3,20,Maurice Jones-Drew left tackle for no gain (tackle by Corey Graham and Anthony Adams),3.470,2.180
3,4:55,4,2,CHI 21,3,20,David Garrard pass incomplete short left intended for Montell Owens,2.180,-0.410
,,,,,,,"JAX challenged the pass completion ruling, and the play was upheld.",,
3,4:50,1,10,CHI 22,3,20,Matt Forte left end for -2 yards (tackle by John Henderson),0.410,-0.400
3,4:13,2,12,CHI 20,3,20,Kyle Orton pass incomplete short left intended for Greg Olsen (defended by Justin Durant),-0.400,-1.090
3,4:08,3,12,CHI 20,3,20,Matt Forte left guard for 2 yards (tackle by Justin Durant and Jeremy Mincey),-1.090,-1.900
3,3:30,4,10,CHI 22,3,20,Brad Maynard punts 45 yards,-1.900,-1.140
3,3:24,1,10,JAX 33,3,20,David Garrard pass incomplete deep right intended for Matt Jones (defended by Charles Tillman),1.140,0.590
3,3:18,2,10,JAX 33,3,20,Fred Taylor right guard for 4 yards (tackle by Danieal Manning),0.590,0.430
3,2:37,3,6,JAX 37,3,20,David Garrard right end for 5 yards (tackle by Adewale Ogunleye and Brian Urlacher),0.430,-0.590
3,1:45,4,1,JAX 42,3,20,"Penalty on Steve Weatherford: Delay of Game, 6 yards (no play)",-0.590,-0.980
3,1:45,4,7,JAX 36,3,20,Steve Weatherford punts 41 yards,-0.980,-0.480
3,1:37,1,10,CHI 23,3,20,Kyle Orton pass complete short right to Desmond Clark for 6 yards (tackle by Justin Durant),0.480,0.740
3,1:00,2,4,CHI 29,3,20,Kyle Orton pass incomplete short right intended for Devin Hester,0.740,0.040
3,0:56,3,4,CHI 29,3,20,Kyle Orton pass incomplete deep right intended for Devin Hester,0.040,-1.440
3,0:51,4,4,CHI 29,3,20,"Brad Maynard punts 48 yards, muffed catch by Brian Witherspoon, recovered by Brian Witherspoon and returned for 1 yard (tackle by Earl Bennett)",-1.440,-0.540
3,0:41,1,10,JAX 24,3,20,David Garrard pass complete short left to Reggie Williams for 12 yards (tackle by Charles Tillman),0.540,1.330
3,0:02,1,10,JAX 36,3,20,"David Garrard pass complete short right to Maurice Jones-Drew for 1 yard (tackle by Charles Tillman). Maurice Jones-Drew fumbles (forced by Charles Tillman), recovered by Brad Meester at JAX-38",1.330,1.060
Quarter,Time,Down,ToGo,Location,JAX,CHI,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,8,JAX 38,3,20,David Garrard pass incomplete deep middle intended for Marcedes Lewis,1.060,0.370
4,14:55,3,8,JAX 38,3,20,David Garrard pass complete short right to Matt Jones for 13 yards (tackle by Charles Tillman),0.370,2.320
4,14:26,1,10,CHI 49,3,20,Fred Taylor right guard for 11 yards (tackle by Kevin Payne and Mark Anderson),2.320,3.050
4,13:45,1,10,CHI 38,3,20,David Garrard pass incomplete deep left intended for Matt Jones,3.050,2.510
4,13:39,2,10,CHI 38,3,20,David Garrard pass complete deep middle to Jerry Porter for 27 yards (tackle by Corey Graham),2.510,4.840
4,12:54,1,10,CHI 11,3,20,Maurice Jones-Drew right tackle for 7 yards (tackle by Lance Briggs),4.840,5.470
4,12:15,2,3,CHI 4,9,20,"David Garrard pass complete short right to Maurice Jones-Drew for 4 yards, touchdown",5.470,7.000
4,,,,CHI 2,10,20,Josh Scobee kicks extra point good,0.000,0.000
4,,,,JAX 30,10,20,"Josh Scobee kicks off 61 yards, returned by Danieal Manning for 20 yards (tackle by Brian Iwuh)",0.000,0.870
4,12:02,1,10,CHI 29,10,20,Kyle Orton pass complete short right to Marty Booker for 12 yards (tackle by Brian Williams),0.870,1.660
4,11:38,1,10,CHI 41,10,20,Matt Forte left tackle for 5 yards (tackle by Jeremy Mincey),1.660,1.800
4,10:53,2,5,CHI 46,10,20,Kyle Orton pass complete deep right to Devin Hester for 30 yards (tackle by Brian Williams),1.800,3.970
4,10:26,1,10,JAX 24,10,20,Kyle Orton pass complete short left to Matt Forte for 6 yards (tackle by Gerald Sensabaugh),3.970,4.290
4,9:45,2,4,JAX 18,10,20,Matt Forte right tackle for 2 yards (tackle by John Henderson),4.290,3.950
4,9:06,3,2,JAX 16,10,20,Kyle Orton pass incomplete short right intended for Rashied Davis (defended by Reggie Hayward),3.950,2.500
4,9:03,4,2,JAX 16,10,23,Robbie Gould 35 yard field goal good,2.500,3.000
4,,,,CHI 30,10,23,"Robbie Gould kicks off 66 yards, returned by Brian Witherspoon for 26 yards (tackle by Danieal Manning)",0.000,0.940
4,8:51,1,10,JAX 30,10,23,"Penalty on Khalif Barnes: False Start, 5 yards (no play)",0.940,0.610
4,8:51,1,15,JAX 25,10,23,David Garrard pass complete short right to Fred Taylor for 6 yards (tackle by Lance Briggs),0.610,0.530
4,8:21,2,9,JAX 31,10,23,David Garrard pass incomplete short left intended for Fred Taylor (defended by Brian Urlacher),0.530,-0.160
4,8:15,3,9,JAX 31,10,23,David Garrard sacked by Adewale Ogunleye and Israel Idonije for -7 yards,-0.160,-1.770
4,7:37,4,16,JAX 24,10,23,Steve Weatherford punts 44 yards,-1.770,-1.070
4,7:25,1,10,CHI 32,10,23,Kyle Orton pass complete short right to Rashied Davis for 8 yards (tackle by Brian Williams),1.070,1.610
4,6:55,2,2,CHI 40,10,23,Matt Forte right tackle for no gain (tackle by Clint Ingram),1.610,0.890
4,6:11,,,,10,23,Timeout #1 by Chicago Bears,0.000,0.890
4,6:11,3,2,CHI 40,10,23,Kyle Orton pass complete short left to Devin Hester for -2 yards (tackle by Daryl Smith),0.890,-0.850
4,6:02,,,,10,23,Timeout #2 by Jacksonville Jaguars,0.000,-0.850
4,6:02,4,4,CHI 38,10,23,"Brad Maynard punts 43 yards, fair catch by Brian Witherspoon",-0.850,-0.150
4,5:54,1,10,JAX 19,10,23,David Garrard pass incomplete deep middle intended for Reggie Williams,0.150,-0.390
4,5:49,2,10,JAX 19,10,23,David Garrard pass complete short right to Marcedes Lewis for 5 yards (tackle by Brian Urlacher),-0.390,-0.420
4,5:23,3,5,JAX 24,10,23,David Garrard pass incomplete short right intended for Marcedes Lewis,-0.420,-1.770
4,5:17,4,5,JAX 24,10,23,David Garrard pass complete short left to Matt Jones for 8 yards (tackle by Danieal Manning),-1.770,1.070
4,4:49,1,10,JAX 32,10,23,David Garrard pass incomplete short right intended for Marcedes Lewis,1.070,0.530
4,4:46,2,10,JAX 32,10,23,David Garrard pass complete short left to Maurice Jones-Drew for 9 yards (tackle by Corey Graham),0.530,1.030
4,4:13,3,1,JAX 41,10,23,David Garrard up the middle for 3 yards (tackle by Anthony Adams),1.030,1.860
4,3:46,1,10,JAX 44,10,23,David Garrard pass complete short left to Dennis Northcutt for 5 yards,1.860,1.990
4,3:41,2,5,JAX 49,10,23,David Garrard sacked by Mark Anderson for -7 yards,1.990,0.370
4,3:20,3,12,JAX 42,10,23,David Garrard pass complete short middle to Marcedes Lewis for 6 yards (tackle by Mike Brown),0.370,-0.190
4,2:53,4,6,JAX 48,10,23,David Garrard pass complete short right to Marcedes Lewis for 5 yards (tackle by Mike Brown),-0.190,-2.130
4,2:44,1,10,CHI 48,10,23,Adrian Peterson right guard for 8 yards (tackle by Drayton Florence),2.130,2.660
4,2:00,2,2,JAX 44,10,23,Adrian Peterson left guard for 3 yards (tackle by Brian Williams and Gerald Sensabaugh),2.660,2.850
4,1:19,1,10,JAX 41,10,23,Kyle Orton kneels for -1 yards,2.850,2.170
4,0:39,2,11,JAX 42,10,23,Kyle Orton kneels for -1 yards,2.170,1.350
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
