Quarter,Time,Tm,Detail,JAX,CHI
1.0,12:36,Bears,Desmond Clark 2 yard pass from Kyle Orton (Robbie Gould kick),0,7
,6:28,Jaguars,Josh Scobee 42 yard field goal,3,7
,0:19,Bears,Robbie Gould 22 yard field goal,3,10
2.0,2:44,Bears,Robbie Gould 36 yard field goal,3,13
,0:18,Bears,Greg Olsen 22 yard pass from Kyle Orton (Robbie Gould kick),3,20
4.0,12:09,Jaguars,Maurice Jones-Drew 4 yard pass from David Garrard (Josh Scobee kick),10,20
,8:58,Bears,Robbie Gould 35 yard field goal,10,23
