Unnamed: 0,JAX,CHI
First Downs,14,16
Rush-Yds-TDs,28-119-0,26-86-0
Cmp-Att-Yd-TD-INT,19-38-178-1-1,20-34-219-2-1
Sacked-Yards,3-19,1-9
Net Pass Yards,159,210
Total Yards,278,296
Fumbles-Lost,2-0,3-0
Turnovers,1,1
Penalties-Yards,4-21,1-5
Third Down Conv.,5-17,5-15
Fourth Down Conv.,1-3,1-1
Time of Possession,32:03,27:57
