Unnamed: 0,GNB,DAL
First Downs,20,23
Rush-Yds-TDs,19-124-2,28-105-0
Cmp-Att-Yd-TD-INT,23-40-257-1-2,19-30-309-4-1
Sacked-Yards,3-24,0-0
Net Pass Yards,233,309
Total Yards,357,414
Fumbles-Lost,0-0,0-0
Turnovers,2,1
Penalties-Yards,9-142,10-65
Third Down Conv.,5-12,4-9
Fourth Down Conv.,0-1,0-1
Time of Possession,29:11,30:49
