Quarter,Time,Tm,Detail,GNB,DAL
1.0,11:32,Packers,Mason Crosby 47 yard field goal,3,0
,8:23,Cowboys,Nick Folk 26 yard field goal,3,3
,3:15,Cowboys,Nick Folk 51 yard field goal,3,6
,1:14,Cowboys,Patrick Crayton 3 yard pass from Tony Romo (Nick Folk kick),3,13
,0:01,Packers,Ryan Grant 62 yard rush (Mason Crosby kick),10,13
2.0,13:20,Cowboys,Anthony Fasano 26 yard pass from Tony Romo (Nick Folk kick),10,20
,9:53,Cowboys,Terrell Owens 10 yard pass from Tony Romo (Nick Folk kick),10,27
,0:31,Packers,Greg Jennings 11 yard pass from Aaron Rodgers (Mason Crosby kick),17,27
3.0,5:15,Packers,Ryan Grant 1 yard rush (Mason Crosby kick),24,27
4.0,7:51,Cowboys,Patrick Crayton 4 yard pass from Tony Romo (Nick Folk kick),24,34
,5:03,Packers,Mason Crosby 52 yard field goal,27,34
,1:03,Cowboys,Nick Folk 25 yard field goal,27,37
