Unnamed: 0,SEA,SFO
First Downs,14,21
Rush-Yds-TDs,28-39-1,24-124-0
Cmp-Att-Yd-TD-INT,15-25-222-2-0,28-44-304-1-1
Sacked-Yards,1-0,5-40
Net Pass Yards,222,264
Total Yards,261,388
Fumbles-Lost,0-0,4-1
Turnovers,0,2
Penalties-Yards,3-15,7-65
Third Down Conv.,6-14,7-15
Fourth Down Conv.,1-1,0-2
Time of Possession,25:58,34:02
