Quarter,Time,Tm,Detail,SEA,SFO
1.0,9:58,Seahawks,Olindo Mare 43 yard field goal,3,0
,6:10,Seahawks,Olindo Mare 42 yard field goal,6,0
2.0,12:01,Seahawks,T.J. Duckett 1 yard rush (Olindo Mare kick),13,0
,7:05,49ers,Joe Nedney 42 yard field goal,13,3
,0:31,Seahawks,Josh Wilson 75 yard interception return (Olindo Mare kick),20,3
3.0,4:12,49ers,Joe Nedney 40 yard field goal,20,6
,1:50,Seahawks,Leonard Weaver 43 yard pass from Seneca Wallace (Olindo Mare kick),27,6
4.0,9:57,49ers,Jason Hill 2 yard pass from Shaun Hill (Joe Nedney kick),27,13
,6:10,Seahawks,Leonard Weaver 62 yard pass from Seneca Wallace (Olindo Mare kick),34,13
