Quarter,Time,Tm,Detail,CAR,NOR
2.0,14:55,Saints,Alvin Kamara 9 yard rush (Blake Grupe kick),0,7
,9:16,Panthers,Eddy Pineiro 47 yard field goal,3,7
,4:37,Saints,D'Marco Jackson 8 yard fumble return (Blake Grupe kick),3,14
3.0,4:57,Panthers,Eddy Pineiro 29 yard field goal,6,14
4.0,5:59,Saints,Chris Olave 7 yard pass from Derek Carr (Blake Grupe kick),6,21
,4:29,Saints,Jimmy Graham 4 yard pass from Derek Carr (Blake Grupe kick),6,28
