Unnamed: 0,SDG,OAK
First Downs,27,17
Rush-Yds-TDs,19-36-0,28-104-0
Cmp-Att-Yd-TD-INT,35-48-411-2-3,18-23-221-2-0
Sacked-Yards,2-20,4-26
Net Pass Yards,391,195
Total Yards,427,299
Fumbles-Lost,2-2,2-0
Turnovers,5,0
Penalties-Yards,5-30,8-85
Third Down Conv.,4-11,4-12
Fourth Down Conv.,0-1,0-0
Time of Possession,30:55,29:05
