Quarter,Time,Tm,Detail,CHI,TEN
1.0,6:44,Bears,Corey Wootton 5 yard blocked punt return (Robbie Gould kick),7,0
,4:51,Titans,"Safety, Offensive penalty on JMarcus Webb in endzone for a safety.",7,2
,3:40,Bears,Matt Forte 8 yard rush (Robbie Gould kick),14,2
,2:59,Bears,Brian Urlacher 46 yard interception return (Robbie Gould kick),21,2
,1:33,Bears,Brandon Marshall 13 yard pass from Jay Cutler (Robbie Gould kick),28,2
2.0,11:44,Bears,Robbie Gould 40 yard field goal,31,2
,0:00,Titans,Rob Bironas 39 yard field goal,31,5
3.0,11:25,Titans,Nate Washington 30 yard pass from Matt Hasselbeck (Rob Bironas kick),31,12
,7:37,Bears,Robbie Gould 25 yard field goal,34,12
,0:38,Bears,Robbie Gould 22 yard field goal,37,12
4.0,11:21,Bears,Brandon Marshall 39 yard pass from Jay Cutler (Robbie Gould kick),44,12
,10:20,Bears,Brandon Marshall 5 yard pass from Jay Cutler (Robbie Gould kick),51,12
,10:09,Titans,Chris Johnson 80 yard rush (Kenny Britt pass from Matt Hasselbeck),51,20
