Quarter,Time,Down,ToGo,Location,CHI,TEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Titans won the coin toss, Titans to receive the opening kickoff.",,
1,15:00,,,CHI 35,0,0,"Robbie Gould kicks off 70 yards, returned by Darius Reynaud for 25 yards (tackle by Eric Weems)",0.000,0.280
1,14:54,1,10,TEN 20,0,0,"Matt Hasselbeck pass complete deep middle to Kenny Britt for 23 yards (tackle by Charles Tillman). Kenny Britt fumbles (forced by Charles Tillman), recovered by Brian Urlacher at TEN-46 (tackle by Kenny Britt)",0.280,-2.520
1,14:44,1,10,TEN 46,0,0,"Matt Forte right tackle for 2 yards (tackle by Coty Sensabaugh). Penalty on Kellen Davis: Offensive Holding, 10 yards (no play)",2.520,1.860
1,14:19,1,20,CHI 44,0,0,Matt Forte right guard for 3 yards (tackle by Zach Brown),1.860,1.030
1,13:35,2,17,CHI 47,0,0,Matt Forte left tackle for 8 yards (tackle by Colin McCarthy and Jordan Babineaux),1.030,1.420
1,12:53,3,9,TEN 45,0,0,Jay Cutler pass complete short right to Earl Bennett for 2 yards (tackle by Jason McCourty),1.420,0.400
1,12:17,4,7,TEN 43,0,0,"Adam Podlesh punts 43 yards, touchback",0.400,-0.280
1,12:09,1,10,TEN 20,0,0,Matt Hasselbeck pass complete short right to Kenny Britt for 9 yards (tackle by Charles Tillman),0.280,0.950
1,11:34,2,1,TEN 29,0,0,Chris Johnson up the middle for no gain (tackle by Brian Urlacher),0.950,0.230
1,11:00,3,1,TEN 29,0,0,Chris Johnson up the middle for no gain (tackle by Nick Roach),0.230,-1.440
1,10:17,4,1,TEN 29,0,0,"Brett Kern punts 53 yards, returned by Devin Hester for 9 yards (tackle by Jordan Babineaux)",-1.440,-0.740
1,10:06,1,10,CHI 27,0,0,Matt Forte left end for 17 yards (tackle by Colin McCarthy),0.740,1.860
1,9:39,1,10,CHI 44,0,0,Jay Cutler sacked by Akeem Ayers for 0 yards,1.860,1.320
1,9:08,2,10,CHI 44,0,0,Jay Cutler pass incomplete short right intended for Earl Bennett,1.320,0.630
1,9:04,3,10,CHI 44,0,0,Jay Cutler pass incomplete deep right intended for Brandon Marshall,0.630,-0.460
1,8:58,4,10,CHI 44,0,0,Adam Podlesh punts 37 yards,-0.460,-0.150
1,8:48,1,10,TEN 19,0,0,Matt Hasselbeck pass complete short middle to Nate Washington for 5 yards (tackle by Lance Briggs),0.150,0.340
1,8:10,2,5,TEN 24,0,0,"Chris Johnson left guard for 7 yards (tackle by Chris Conte). Penalty on TEN: Illegal Formation, 5 yards (no play)",0.340,-0.390
1,7:39,2,10,TEN 19,0,0,Matt Hasselbeck pass incomplete short right intended for Craig Stevens (defended by Chris Conte). Penalty on TEN: Illegal Formation (Declined),-0.390,-1.070
1,7:33,3,10,TEN 19,0,0,Matt Hasselbeck pass complete short middle to Chris Johnson for 1 yard (tackle by D.J. Moore),-1.070,-2.030
1,6:52,4,9,TEN 20,6,0,"Brett Kern punts, blocked by Sherrick McManis, recovered by Corey Wootton and returned 5 yards, touchdown",-2.030,-7.000
1,,,,TEN 2,7,0,Robbie Gould kicks extra point good,0.000,0.000
1,6:44,,,CHI 35,7,0,"Robbie Gould kicks off 68 yards, returned by Darius Reynaud for 25 yards (tackle by Sherrick McManis)",0.000,0.410
1,6:38,1,10,TEN 22,7,0,Chris Johnson right tackle for 7 yards (tackle by Henry Melton and Nate Collins),0.410,0.810
1,6:00,2,3,TEN 29,7,0,Chris Johnson right guard for 1 yard (tackle by Henry Melton and Brian Urlacher),0.810,0.230
1,5:22,3,2,TEN 30,7,0,Matt Hasselbeck pass incomplete short left intended for Kendall Wright,0.230,-1.370
1,5:18,4,2,TEN 30,7,0,"Brett Kern punts 52 yards, returned by Devin Hester for 11 yards (tackle by Jamie Harper). Penalty on Charles Tillman: Offensive Holding, 9 yards",-1.370,0.380
1,5:07,1,10,CHI 9,7,0,Jay Cutler pass incomplete short right intended for Earl Bennett,-0.380,-0.780
1,5:03,2,10,CHI 9,7,0,"Penalty on Devin Hester: False Start, 4 yards (no play)",-0.780,-1.070
1,5:03,2,14,CHI 5,7,2,"Jay Cutler pass complete short middle to Matt Forte for 15 yards (tackle by Kamerion Wimbley), safety. Penalty on J'Marcus Webb: Illegal Use of Hands, 5 yards (no play)",-1.070,-2.000
1,4:51,,,CHI 20,7,2,"Adam Podlesh kicks off 54 yards, returned by Darius Reynaud for 22 yards (tackle by Adam Podlesh). Penalty on Jamie Harper: Illegal Block Above the Waist, 10 yards",0.000,0.670
1,4:44,1,10,TEN 26,7,2,Matt Hasselbeck pass incomplete short right intended for Kenny Britt (defended by Charles Tillman),0.670,0.130
1,4:39,2,10,TEN 26,7,2,Matt Hasselbeck sacked by Stephen Paea and Israel Idonije for -12 yards,0.130,-2.650
1,4:06,3,22,TEN 14,7,2,Matt Hasselbeck pass incomplete short left intended for Kendall Wright,-2.650,-2.470
1,4:02,4,22,TEN 14,7,2,"Penalty on Al Afalava: False Start, 5 yards (no play)",-2.470,-2.490
1,4:02,4,27,TEN 9,7,2,"Brett Kern punts 43 yards, returned by Devin Hester for 44 yards (tackle by Jamie Harper)",-2.490,-5.370
1,3:48,1,8,TEN 8,13,2,"Matt Forte up the middle for 8 yards, touchdown",5.370,7.000
1,3:48,,,TEN 2,14,2,Robbie Gould kicks extra point good,0.000,0.000
1,3:40,,,CHI 35,14,2,"Robbie Gould kicks off 73 yards, returned by Darius Reynaud for 32 yards (tackle by Armando Allen)",0.000,0.540
1,3:34,1,10,TEN 24,14,2,Matt Hasselbeck pass complete deep left to Kendall Wright for 18 yards (tackle by Tim Jennings),0.540,1.730
1,3:11,1,10,TEN 42,20,2,"Matt Hasselbeck pass incomplete short middle intended for Damian Williams is intercepted by Brian Urlacher at TEN-46 and returned for 46 yards, touchdown",1.730,-7.000
1,,,,TEN 2,21,2,Robbie Gould kicks extra point good,0.000,0.000
1,2:59,,,CHI 35,21,2,"Robbie Gould kicks off 65 yards, touchback",0.000,0.280
1,2:59,1,10,TEN 20,21,2,"Matt Hasselbeck pass complete short left to Chris Johnson for -4 yards (tackle by Charles Tillman). Chris Johnson fumbles (forced by Charles Tillman), recovered by Chris Conte at TEN-16",0.280,-4.510
1,2:49,1,10,TEN 16,21,2,Michael Bush left tackle for no gain (tackle by Zach Brown and Akeem Ayers),4.510,3.900
1,2:11,2,10,TEN 16,21,2,Jay Cutler pass complete short left to Brandon Marshall for 3 yards (tackle by Zach Brown),3.900,3.540
1,1:40,3,7,TEN 13,27,2,"Jay Cutler pass complete short left to Brandon Marshall for 13 yards, touchdown",3.540,7.000
1,1:40,,,TEN 2,28,2,Robbie Gould kicks extra point good,0.000,0.000
1,1:33,,,CHI 35,28,2,"Robbie Gould kicks off 65 yards, touchback",0.000,0.280
1,1:33,1,10,TEN 20,28,2,Matt Hasselbeck pass incomplete short right intended for Kendall Wright (defended by Nate Collins),0.280,-0.270
1,1:29,2,10,TEN 20,28,2,Chris Johnson right guard for 2 yards (tackle by Kelvin Hayden and Nate Collins),-0.270,-0.690
1,0:56,3,8,TEN 22,28,2,Matt Hasselbeck pass incomplete short right intended for Jared Cook (defended by Chris Conte),-0.690,-1.900
1,0:50,4,8,TEN 22,28,2,"Brett Kern punts 35 yards, returned by Devin Hester for 7 yards (tackle by Taylor Thompson)",-1.900,-2.260
1,0:41,1,10,,28,2,Michael Bush left guard for 2 yards (tackle by Colin McCarthy),2.260,1.980
Quarter,Time,Down,ToGo,Location,CHI,TEN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,8,TEN 48,28,2,Jay Cutler pass complete short right to Brandon Marshall for 3 yards (tackle by Ryan Mouton),1.980,1.690
2,14:16,3,5,TEN 45,28,2,Jay Cutler pass complete short right to Earl Bennett for 6 yards (tackle by Jason McCourty),1.690,2.980
2,13:55,1,10,TEN 39,28,2,Michael Bush left guard for -1 yards (tackle by Akeem Ayers),2.980,2.300
2,13:17,2,11,TEN 40,28,2,Jay Cutler right end for 12 yards (tackle by Derrick Morgan),2.300,3.710
2,12:43,1,10,TEN 28,28,2,Jay Cutler pass incomplete short right intended for Eric Weems (defended by Derrick Morgan),3.710,3.170
2,12:40,2,10,TEN 28,28,2,Jay Cutler pass complete short left to Brandon Marshall for 5 yards (tackle by Jordan Babineaux),3.170,3.140
2,11:54,3,5,TEN 23,28,2,Jay Cutler pass incomplete short middle intended for Earl Bennett (defended by Ryan Mouton),3.140,1.980
2,11:49,4,5,TEN 23,31,2,Robbie Gould 40 yard field goal good,1.980,3.000
2,11:44,,,CHI 35,31,2,"Robbie Gould kicks off 66 yards, returned by Darius Reynaud for 23 yards (tackle by Sherrick McManis). Penalty on Tracy Wilson: Unnecessary Roughness, 11 yards",0.000,-0.370
2,11:37,1,10,TEN 11,31,2,Chris Johnson right guard for 5 yards (tackle by Stephen Paea),-0.370,-0.300
2,11:06,2,5,TEN 16,31,2,Chris Johnson right tackle for 3 yards (tackle by Brian Urlacher and Nick Roach),-0.300,-0.480
