Unnamed: 0,CHI,TEN
First Downs,21,12
Rush-Yds-TDs,36-160-1,18-159-1
Cmp-Att-Yd-TD-INT,19-26-229-3-0,20-35-200-1-1
Sacked-Yards,3-24,2-20
Net Pass Yards,205,180
Total Yards,365,339
Fumbles-Lost,1-1,6-4
Turnovers,1,5
Penalties-Yards,5-37,9-68
Third Down Conv.,6-14,3-12
Fourth Down Conv.,0-1,0-1
Time of Possession,37:01,22:59
