Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Jamycal Hasty,JAX,6,6,23,0,2,-5,-0.8,28,4.7,-0.8,1,6.0,0,0.0,0,82.6
Marvin Jones,JAX,7,6,61,0,4,52,8.7,9,1.5,9.0,0,,0,0.0,1,63.4
Travis Etienne,JAX,3,3,32,0,1,6,2.0,26,8.7,2.0,0,,0,0.0,0,111.1
Zay Jones,JAX,5,3,24,0,1,13,4.3,11,3.7,9.4,0,,1,20.0,1,32.5
Christian Kirk,JAX,3,2,21,0,1,11,5.5,10,5.0,5.3,1,2.0,0,0.0,0,86.8
Jamal Agnew,JAX,1,1,4,0,,-5,-5.0,9,9.0,-5.0,0,,0,0.0,0,83.3
Evan Engram,JAX,2,1,16,0,1,3,3.0,13,13.0,9.0,2,0.5,0,0.0,0,77.1
Dan Arnold,JAX,1,0,0,0,,0,,0,,21.0,0,,0,0.0,0,39.6
Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Brandin Cooks,HOU,7,4,39,0,1,27,6.8,12,3.0,15.4,0,,0,0.0,0,72.9
Rex Burkhead,HOU,5,3,10,0,,-5,-1.7,15,5.0,1.2,0,,0,0.0,0,64.6
Phillip Dorsett,HOU,6,3,14,0,1,0,0.0,14,4.7,2.7,0,,1,16.7,0,56.2
Royce Freeman,HOU,5,3,20,0,0,0,0.0,20,6.7,0.0,1,3.0,0,0.0,0,68.7
Chris Moore,HOU,5,3,21,0,2,18,6.0,3,1.0,12.6,0,,0,0.0,0,69.6
Jordan Akins,HOU,3,2,38,0,2,31,15.5,7,3.5,17.0,0,,1,33.3,0,109.7
Amari Rodgers,HOU,2,2,12,0,1,5,2.5,7,3.5,2.5,0,,0,0.0,0,91.7
Dare Ogunbowale,HOU,3,2,4,0,0,-3,-1.5,7,3.5,1.0,0,,0,0.0,0,70.1
Brevin Jordan,HOU,3,1,20,0,1,6,6.0,14,14.0,14.7,0,,0,0.0,0,57.6
O.J. Howard,HOU,2,1,26,0,1,3,3.0,23,23.0,1.5,0,,0,0.0,0,95.8
Troy Hairston,HOU,1,1,7,0,,3,3.0,4,4.0,3.0,0,,0,0.0,0,95.8
