Unnamed: 0,GNB,TAM
First Downs,23,6
Rush-Yds-TDs,31-121-1,14-16-0
Cmp-Att-Yd-TD-INT,31-40-318-1-0,12-26-147-0-1
Sacked-Yards,1-8,7-54
Net Pass Yards,310,93
Total Yards,431,109
Fumbles-Lost,2-1,1-0
Turnovers,1,1
Penalties-Yards,5-40,3-30
Third Down Conv.,6-13,4-14
Fourth Down Conv.,0-1,1-1
Time of Possession,38:38,21:22
