Quarter,Time,Tm,Detail,GNB,TAM
1.0,0:49,Packers,Eddie Lacy 44 yard rush (Mason Crosby kick),7,0
2.0,4:55,Packers,Mason Crosby 42 yard field goal,10,0
,0:00,Buccaneers,Patrick Murray 43 yard field goal,10,3
4.0,10:19,Packers,Mason Crosby 25 yard field goal,13,3
,2:45,Packers,Jordy Nelson 1 yard pass from Aaron Rodgers (Mason Crosby kick),20,3
