Quarter,Time,Down,ToGo,Location,BUF,BAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bills won the coin toss and deferred, Ravens to receive the opening kickoff.",,
1,15:00,,,BUF 35,0,0,"Stephen Hauschka kicks off 69 yards, returned by Janarion Grant for no gain (tackle by Lafayette Pitts). Penalty on Javorius Allen: Unnecessary Roughness (Offsetting)",0.000,0.280
1,14:53,1,10,BAL 20,0,0,Joe Flacco pass complete short middle to Nick Boyle for 25 yards (tackle by Jordan Poyer and Tremaine Edmunds),0.280,1.930
1,14:16,1,10,BAL 45,0,0,Joe Flacco pass complete short middle to Nick Boyle for 11 yards (tackle by Tremaine Edmunds and Matt Milano),1.930,2.650
1,13:43,1,10,BUF 44,0,0,Joe Flacco aborted snap,2.650,1.300
1,13:05,2,16,BAL 50,0,0,"Alex Collins right tackle for no gain (tackle by Jordan Poyer and Tremaine Edmunds). Penalty on Alex Lewis: Offensive Holding, 10 yards (no play)",1.300,-0.050
1,12:27,2,26,BAL 40,0,0,Joe Flacco pass complete deep left to John Brown for 29 yards (tackle by Jordan Poyer),-0.050,3.510
1,11:41,1,10,BUF 31,0,0,Joe Flacco pass incomplete short left intended for Michael Crabtree,3.510,2.970
1,11:35,2,10,BUF 31,0,0,Joe Flacco pass complete short middle to Mark Andrews for 11 yards (tackle by Micah Hyde),2.970,4.240
1,10:56,1,10,BUF 20,0,0,"Alex Collins left end for no gain (tackle by Lorenzo Alexander). Penalty on Trent Murphy: Defensive Offside, 5 yards (no play)",4.240,5.190
1,10:36,1,5,BUF 15,0,0,Lamar Jackson up the middle for no gain (tackle by Eddie Yarbrough),5.190,4.450
1,10:04,2,5,BUF 15,0,0,Joe Flacco pass complete short middle to Nick Boyle for 4 yards (tackle by Jordan Poyer),4.450,4.590
1,9:24,3,1,BUF 11,0,0,Joe Flacco up the middle for 3 yards (tackle by Kyle Williams),4.590,5.370
1,8:49,1,8,BUF 8,0,6,"Alex Collins up the middle for 8 yards, touchdown",5.370,7.000
1,8:42,,,BUF 15,0,7,Justin Tucker kicks extra point good,0.000,0.000
1,8:42,,,BAL 35,0,7,"Justin Tucker kicks off 61 yards, returned by Marcus Murphy for no gain (tackle by Chris Board)",0.000,1.070
1,8:38,1,10,BUF 32,0,7,LeSean McCoy left guard for -1 yards (tackle by Terrell Suggs),1.070,0.390
1,8:16,2,11,BUF 31,0,7,Nathan Peterman pass incomplete short left intended for LeSean McCoy,0.390,-0.290
1,8:12,3,11,BUF 31,0,7,Nathan Peterman sacked by Tavon Young for -3 yards,-0.290,-1.500
1,7:25,4,14,BUF 28,0,7,"Corey Bojorquez punts 46 yards, returned by Janarion Grant for -1 yards (tackle by Patrick DiMarco)",-1.500,-0.610
1,7:13,1,10,BAL 25,0,7,John Brown right end for 1 yard (tackle by Phillip Gaines),0.610,0.200
1,6:45,2,9,BAL 26,0,7,Joe Flacco pass incomplete short right intended for Michael Crabtree,0.200,-0.490
1,6:41,3,9,BAL 26,0,7,Joe Flacco pass incomplete short middle intended for Willie Snead,-0.490,-1.630
1,6:37,4,9,BAL 26,0,7,"Sam Koch punts 63 yards, returned by Jeremy Kerley for 4 yards (tackle by Tyus Bowser and Chuck Clark)",-1.630,0.220
1,6:25,1,10,BUF 15,0,7,Nathan Peterman pass incomplete short middle intended for Jeremy Kerley,-0.220,-0.710
1,6:22,2,10,BUF 15,0,7,Nathan Peterman pass complete short left to Jeremy Kerley for 3 yards (tackle by Tavon Young),-0.710,-1.000
1,5:48,3,7,BUF 18,0,7,Nathan Peterman pass incomplete deep left intended for Kelvin Benjamin,-1.000,-2.240
1,5:43,4,7,BUF 18,0,7,"Corey Bojorquez punts 51 yards, returned by Janarion Grant for 3 yards (tackle by Lorenzo Alexander)",-2.240,-1.200
