Quarter,Time,Tm,Detail,BUF,BAL
1.0,8:42,Ravens,Alex Collins 8 yard rush (Justin Tucker kick),0,7
,1:32,Ravens,John Brown 7 yard pass from Joe Flacco (Justin Tucker kick),0,14
2.0,13:14,Ravens,Justin Tucker 41 yard field goal,0,17
,4:16,Ravens,Justin Tucker 39 yard field goal,0,20
,0:13,Ravens,Michael Crabtree 12 yard pass from Joe Flacco (pass failed),0,26
3.0,12:28,Ravens,Willie Snead 13 yard pass from Joe Flacco (Justin Tucker kick),0,33
,11:22,Ravens,Javorius Allen 1 yard rush (Justin Tucker kick),0,40
,2:38,Bills,Stephen Hauschka 35 yard field goal,3,40
4.0,3:52,Ravens,Kenneth Dixon 2 yard rush (Justin Tucker kick),3,47
