Unnamed: 0,BUF,BAL
First Downs,10,26
Rush-Yds-TDs,22-83-0,34-117-3
Cmp-Att-Yd-TD-INT,11-33-98-0-2,26-38-260-3-0
Sacked-Yards,6-28,2-8
Net Pass Yards,70,252
Total Yards,153,369
Fumbles-Lost,1-0,4-1
Turnovers,2,1
Penalties-Yards,10-100,9-78
Third Down Conv.,2-15,6-14
Fourth Down Conv.,0-1,0-0
Time of Possession,24:46,35:14
