Unnamed: 0,JAX,OAK
First Downs,17,27
Rush-Yds-TDs,22-77-0,32-128-0
Cmp-Att-Yd-TD-INT,17-29-201-2-0,22-36-267-1-0
Sacked-Yards,2-16,4-31
Net Pass Yards,185,236
Total Yards,262,364
Fumbles-Lost,0-0,0-0
Turnovers,0,0
Penalties-Yards,8-87,6-51
Third Down Conv.,3-12,4-11
Fourth Down Conv.,1-1,0-0
Time of Possession,25:48,34:12
