Quarter,Time,Down,ToGo,Location,JAX,OAK,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Jaguars won the coin toss and deferred, Raiders to receive the opening kickoff.",,
1,15:00,,,JAX 35,0,0,"Logan Cooke kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,OAK 25,0,0,Josh Jacobs left tackle for 8 yards (tackle by Leon Jacobs),0.610,1.140
1,14:29,2,2,OAK 33,0,0,Josh Jacobs left guard for 1 yard (tackle by Calais Campbell),1.140,0.560
1,13:56,3,1,OAK 34,0,0,Josh Jacobs left guard for 6 yards (tackle by Tre Herndon and Austin Calitro),0.560,1.600
1,13:18,1,10,OAK 40,0,0,Derek Carr pass complete short middle to DeAndre Washington for 9 yards (tackle by Donald Payne and Taven Bryan),1.600,2.270
1,12:44,2,1,OAK 49,0,0,Derek Carr pass complete short left to Darren Waller for 10 yards (tackle by Ronnie Harrison),2.270,2.850
1,12:15,1,10,JAX 41,0,0,Josh Jacobs right tackle for 1 yard (tackle by Josh Allen),2.850,2.440
1,11:38,2,9,JAX 40,0,6,"Derek Carr pass complete short middle to Tyrell Williams for 40 yards, touchdown",2.440,7.000
1,11:29,,,JAX 15,0,7,Daniel Carlson kicks extra point good,0.000,0.000
1,11:29,,,OAK 35,0,7,"Daniel Carlson kicks off 65 yards, touchback.",0.000,0.610
1,11:29,1,10,JAX 25,0,7,Leonard Fournette up the middle for 5 yards (tackle by William Compton and Curtis Riley),0.610,0.740
1,11:00,2,5,JAX 30,0,7,Leonard Fournette right tackle for 1 yard (tackle by Trayvon Mullen and Clelin Ferrell),0.740,0.170
1,10:13,3,4,JAX 31,0,7,Gardner Minshew pass complete deep left to Keelan Cole for 55 yards (tackle by Curtis Riley),0.170,4.650
1,9:39,1,10,OAK 14,0,7,Ryquell Armstead left end for 1 yard (tackle by Johnathan Hankins and Erik Harris),4.650,4.160
1,8:58,2,9,OAK 13,0,7,Gardner Minshew pass incomplete short right intended for Keelan Cole,4.160,3.260
1,8:55,3,9,OAK 13,0,7,Gardner Minshew up the middle for 3 yards (tackle by William Compton and Maurice Hurst),3.260,2.790
1,8:12,4,6,OAK 10,3,7,Josh Lambo 28 yard field goal good,2.790,3.000
1,8:09,,,JAX 35,3,7,"Logan Cooke kicks off 65 yards, touchback.",0.000,0.610
1,8:09,1,10,OAK 25,3,7,Derek Carr pass complete short right to Darren Waller for 13 yards (tackle by Leon Jacobs),0.610,1.470
1,7:46,1,10,OAK 38,3,7,Josh Jacobs left guard for 2 yards (tackle by Josh Allen and Abry Jones),1.470,1.190
1,7:10,2,8,OAK 40,3,7,Derek Carr pass complete short right to Josh Jacobs for 6 yards (tackle by Donald Payne),1.190,1.290
1,6:31,3,2,OAK 46,3,7,Derek Carr pass complete deep left to Darren Waller for 36 yards (tackle by Ronnie Harrison),1.290,4.370
1,5:46,1,10,JAX 18,3,7,Derek Carr pass incomplete deep left intended for Derek Carrier,4.370,3.800
1,5:41,2,10,JAX 18,3,7,Josh Jacobs left tackle for 3 yards (tackle by Austin Calitro),3.800,3.460
1,5:00,3,7,JAX 15,3,7,Derek Carr pass incomplete short left intended for Darren Waller,3.460,2.440
1,4:56,4,7,JAX 15,3,10,Daniel Carlson 33 yard field goal good,2.440,3.000
1,4:53,,,OAK 35,3,10,"Daniel Carlson kicks off 66 yards, returned by Michael Walker for 35 yards (tackle by Isaiah Johnson)",0.000,1.200
1,4:46,1,10,JAX 34,3,10,Gardner Minshew pass incomplete short middle intended for Dede Westbrook,1.200,0.660
1,4:43,2,10,JAX 34,3,10,Leonard Fournette left end for 3 yards (tackle by Nevin Lawson and William Compton),0.660,0.370
1,4:01,3,7,JAX 37,3,10,Gardner Minshew pass incomplete deep right intended for Chris Conley,0.370,-0.910
1,3:55,4,7,JAX 37,3,10,Logan Cooke punts 48 yards downed by Brandon Watson,-0.910,0.220
1,3:44,1,10,OAK 15,3,10,Josh Jacobs left end for 9 yards (tackle by Calais Campbell),-0.220,0.620
1,3:04,2,1,OAK 24,3,10,DeAndre Washington right tackle for 6 yards (tackle by Donald Payne),0.620,0.940
1,2:22,1,10,OAK 30,3,10,DeAndre Washington left guard for -4 yards (tackle by Calais Campbell),0.940,-0.150
1,1:39,2,14,OAK 26,3,10,Derek Carr pass complete short right to Darren Waller for 12 yards (tackle by Austin Calitro),-0.150,0.760
1,1:00,,,,,,Timeout #1 by Oakland Raiders,,
1,1:00,3,2,OAK 38,3,10,Derek Carr pass complete short right to Alec Ingold for 7 yards (tackle by Austin Calitro),0.760,1.930
1,0:31,1,10,OAK 45,3,10,Derek Carr pass complete short middle to Darren Waller for 15 yards (tackle by Donald Payne and Tre Herndon),1.930,2.920
Quarter,Time,Down,ToGo,Location,JAX,OAK,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,JAX 40,3,10,Derek Carr sacked by Austin Calitro for -8 yards,2.920,1.290
2,14:20,2,18,JAX 48,3,10,Derek Carr pass incomplete short left intended for DeAndre Washington (defended by Yannick Ngakoue),1.290,0.630
2,14:17,3,18,JAX 48,3,10,Derek Carr sacked by Josh Allen for -8 yards,0.630,-0.460
2,13:44,4,26,OAK 44,3,10,"A.J. Cole punts 40 yards, fair catch by Dede Westbrook at JAC-16",-0.460,0.140
2,13:36,1,10,JAX 16,3,10,Leonard Fournette right guard for -1 yards (tackle by Clelin Ferrell),-0.140,-0.780
2,13:00,2,11,JAX 15,3,10,Gardner Minshew pass incomplete short right intended for Keelan Cole,-0.780,-1.470
2,12:56,3,11,JAX 15,3,10,Gardner Minshew sacked by Maxx Crosby for -4 yards,-1.470,-2.490
2,12:11,4,15,JAX 11,3,10,"Logan Cooke punts 45 yards, fair catch by Jalen Richard at OAK-44",-2.490,-1.860
2,12:04,1,10,OAK 44,3,10,Josh Jacobs left guard for 3 yards (tackle by Yannick Ngakoue and Taven Bryan),1.860,1.720
2,11:30,2,7,OAK 47,3,10,Josh Jacobs right tackle for 9 yards (tackle by Donald Payne),1.720,2.650
2,10:51,1,10,JAX 44,3,10,DeAndre Washington right guard for 9 yards (tackle by Ronnie Harrison),2.650,3.330
2,10:09,2,1,JAX 35,3,10,DeAndre Washington right guard for 4 yards (tackle by Leon Jacobs),3.330,3.510
2,9:28,1,10,JAX 31,3,10,Josh Jacobs left end for -3 yards (tackle by Leon Jacobs),3.510,2.560
2,8:45,2,13,JAX 34,3,10,"Derek Carr pass complete short left to Darren Waller for 5 yards (tackle by A.J. Bouye). Penalty on Brandon Parker: Illegal Formation, 5 yards (no play)",2.560,1.890
2,8:29,2,18,JAX 39,3,10,Derek Carr pass incomplete short right intended for Zay Jones,1.890,1.220
2,8:20,3,18,JAX 39,3,10,Derek Carr sacked by Yannick Ngakoue for -7 yards,1.220,0.200
2,7:46,4,25,JAX 46,3,10,A.J. Cole punts 42 yards downed by Curtis Riley,0.200,0.380
2,7:38,1,10,JAX 4,3,10,Leonard Fournette left tackle for 2 yards (tackle by Clelin Ferrell and William Compton),-0.380,-0.630
2,6:55,2,8,JAX 6,3,10,Leonard Fournette left end for -4 yards (tackle by Marquel Lee),-0.630,-1.650
