Quarter,Time,Tm,Detail,JAX,OAK
1.0,11:29,Raiders,Tyrell Williams 40 yard pass from Derek Carr (Daniel Carlson kick),0,7
,8:09,Jaguars,Josh Lambo 28 yard field goal,3,7
,4:53,Raiders,Daniel Carlson 33 yard field goal,3,10
2.0,2:21,Raiders,Daniel Carlson 34 yard field goal,3,13
,0:00,Raiders,Daniel Carlson 27 yard field goal,3,16
3.0,0:28,Jaguars,Josh Lambo 43 yard field goal,6,16
4.0,5:15,Jaguars,Chris Conley 6 yard pass from Gardner Minshew II (Josh Lambo kick),13,16
,0:31,Jaguars,Chris Conley 4 yard pass from Gardner Minshew II (Josh Lambo kick),20,16
