Quarter,Time,Down,ToGo,Location,LAC,NYJ,Detail,EPB,EPA
1,0:40,1,10,LAC 24,14,0,Justin Herbert pass complete short right to Gerald Everett for 17 yards (tackle by Jordan Whitehead and Bryce Huff),0.540,1.660
Quarter,Time,Down,ToGo,Location,LAC,NYJ,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,LAC 41,14,0,Joshua Kelley up the middle for 12 yards (tackle by Jordan Whitehead),1.660,2.460
2,14:25,1,10,NYJ 47,14,0,Justin Herbert pass complete short middle to Joshua Kelley for 4 yards (tackle by C.J. Mosley),2.460,2.450
2,13:42,2,6,NYJ 43,14,0,Justin Herbert sacked by and Bryce Huff for -9 yards and Jermaine Johnson for -9 yards,2.450,0.560
2,13:03,3,15,LAC 48,14,0,Justin Herbert pass incomplete short right intended for Austin Ekeler,0.560,-0.190
2,13:01,4,15,LAC 48,14,0,"JK Scott punts 52 yards, touchback.",-0.190,-0.280
2,12:53,1,10,NYJ 20,14,0,Breece Hall up the middle for no gain (tackle by Khalil Mack),0.280,-0.270
2,12:10,2,10,NYJ 20,14,0,Zach Wilson pass complete short left to Nick Bawden for 7 yards (tackle by Kenneth Murray),-0.270,-0.030
2,11:28,3,3,NYJ 27,14,0,"Zach Wilson aborted snap, recovered by Breece Hall at NYJ-27 and returned for -1 yards",-0.030,-1.630
2,10:35,4,4,NYJ 26,14,0,"Thomas Morstead punts 49 yards, fair catch by Derius Davis at LAC-25",-1.630,-0.610
2,10:34,1,10,LAC 25,14,0,Austin Ekeler right guard for 1 yard (tackle by Adrian Amos),0.610,0.200
2,10:20,2,9,LAC 26,14,0,Justin Herbert pass incomplete short left intended for Austin Ekeler,0.200,-0.490
2,10:11,3,9,LAC 26,14,0,Justin Herbert sacked by John Franklin-Myers for -11 yards,-0.490,-2.440
2,9:33,4,20,LAC 15,14,0,"JK Scott punts 48 yards, returned by Xavier Gipson for 8 yards (tackle by Amen Ogbongbemiga)",-2.440,-1.930
2,9:20,1,10,NYJ 45,14,0,Breece Hall right guard for 5 yards (tackle by Nick Williams and Tuli Tuipulotu),1.930,2.060
2,8:43,2,5,NYJ 50,14,0,"Zach Wilson pass complete short left to Allen Lazard for 6 yards (tackle by Asante Samuel). Penalty on Joey Bosa: Defensive Offside, 5 yards (declined)",2.060,2.650
2,8:25,1,10,LAC 44,14,0,Breece Hall right end for 10 yards (tackle by Ja'Sir Taylor and Otito Ogbonnia),2.650,3.310
2,7:47,1,10,LAC 34,14,0,Zach Wilson pass incomplete short left intended for Dalvin Cook,3.310,2.770
2,7:43,2,10,LAC 34,14,0,Dalvin Cook right tackle for no gain (tackle by Derwin James) (no play),2.770,2.090
2,7:21,2,15,LAC 39,14,0,Zach Wilson pass complete short right to Jeremy Ruckert for 7 yards (tackle by Derwin James),2.090,2.350
2,6:44,3,8,LAC 32,14,0,Zach Wilson pass complete short middle to Michael Carter for 3 yards (tackle by Kenneth Murray),2.350,1.540
2,6:01,4,5,LAC 29,14,3,Greg Zuerlein 47 yard field goal good,1.540,3.000
2,5:57,,,NYJ 35,14,3,"Greg Zuerlein kicks off 65 yards, touchback.",0.000,0.610
2,5:57,1,10,LAC 25,14,3,"Justin Herbert pass complete short right to Austin Ekeler for no gain (tackle by Michael Carter and C.J. Mosley). Penalty on Jermaine Johnson: Illegal Use of Hands / Defense, 5 yards (accepted) (no play)",0.610,0.940
2,5:36,1,10,LAC 30,14,3,Austin Ekeler left end for -2 yards (tackle by Quincy Williams),0.940,0.120
2,4:53,2,12,LAC 28,14,3,Justin Herbert pass incomplete short right intended for Jalen Guyton (defended by Sauce Gardner),0.120,-0.560
2,4:47,3,12,LAC 28,14,3,Justin Herbert pass incomplete short right intended for Jalen Guyton,-0.560,-1.500
2,4:42,4,12,LAC 28,14,3,"JK Scott punts 49 yards, returned by Xavier Gipson for no gain (tackle by Deane Leonard)",-1.500,-0.480
2,4:34,1,10,NYJ 23,14,3,Zach Wilson pass complete short left to Garrett Wilson for 3 yards (tackle by Derwin James),0.480,0.340
2,4:02,2,7,NYJ 26,14,3,Breece Hall left guard for 3 yards (tackle by Michael Davis and Derwin James),0.340,0.040
2,3:20,3,4,NYJ 29,14,3,Zach Wilson pass complete short right to Xavier Gipson for 13 yards (tackle by Derwin James),0.040,1.730
2,2:42,1,10,NYJ 42,14,3,Zach Wilson pass incomplete short middle,1.730,1.190
2,2:38,2,10,NYJ 42,14,3,Zach Wilson pass incomplete short right intended for Allen Lazard,1.190,0.500
2,2:34,3,10,NYJ 42,14,3,Zach Wilson sacked by Tuli Tuipulotu for -9 yards,0.500,-1.180
2,2:00,4,19,NYJ 33,14,3,"Thomas Morstead punts 52 yards, fair catch by Derius Davis at LAC-15",-1.180,0.220
2,1:53,1,10,LAC 15,14,3,Justin Herbert pass complete short right to Austin Ekeler for 6 yards (tackle by Michael Carter),-0.220,0.210
2,1:25,2,4,LAC 21,14,3,Justin Herbert sacked by Quinton Jefferson for -1 yards,0.210,-0.760
2,1:19,,,,,,Timeout #1 by New York Jets,,
2,1:19,3,5,LAC 20,14,3,Justin Herbert pass complete short left to Keenan Allen for 7 yards (tackle by D.J. Reed),-0.760,0.740
2,1:14,1,10,LAC 27,14,3,Justin Herbert pass incomplete short right intended for Keenan Allen (defended by Jordan Whitehead),0.740,0.200
2,1:10,2,10,LAC 27,14,3,Justin Herbert pass incomplete short left intended for Donald Parham,0.200,-0.490
2,1:07,3,10,LAC 27,14,3,Justin Herbert pass incomplete short left,-0.490,-1.570
2,1:00,4,10,LAC 27,14,3,JK Scott punts 54 yards downed by Amen Ogbongbemiga,-1.570,-0.150
2,0:47,1,10,NYJ 19,14,3,Zach Wilson pass incomplete deep left intended for Allen Lazard (defended by Ja'Sir Taylor),0.150,-0.390
2,0:41,2,10,NYJ 19,14,3,Zach Wilson pass incomplete deep middle intended for Garrett Wilson (defended by Eric Kendricks),-0.390,-1.070
2,0:36,3,10,NYJ 19,14,3,Zach Wilson pass complete short left to Tyler Conklin for 4 yards (tackle by Ja'Sir Taylor),-1.070,-1.830
2,0:28,,,,,,Timeout #1 by Los Angeles Chargers,,
2,0:28,4,6,NYJ 23,14,3,"Thomas Morstead punts 52 yards, returned by Derius Davis for 17 yards (tackle by Jamien Sherwood)",-1.830,-1.730
2,0:17,1,10,LAC 42,14,3,Justin Herbert pass complete short right to Keenan Allen for 12 yards (tackle by Sauce Gardner),1.730,2.520
2,0:11,,,,,,Timeout #2 by Los Angeles Chargers,,
2,0:11,1,10,NYJ 46,14,3,Justin Herbert pass complete short left to Keenan Allen for 9 yards (tackle by Michael Carter),2.520,3.190
2,0:02,,,,,,Timeout #3 by Los Angeles Chargers,,
2,0:02,,,,,,Timeout #2 by New York Jets,,
2,0:02,2,1,NYJ 37,17,3,Cameron Dicker 55 yard field goal good,3.190,3.000
