Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Keenan Allen,LAC,9,8,77,0,4,56,7.0,21,2.6,7.4,0,,0,0.0,0,102.3
Austin Ekeler,LAC,7,2,23,0,1,9,4.5,14,7.0,-0.6,0,,3,42.9,0,40.8
Gerald Everett,LAC,2,2,18,0,1,-7,-3.5,25,12.5,-3.5,2,1.0,0,0.0,0,104.2
Quentin Johnston,LAC,3,2,14,0,1,14,7.0,0,0.0,16.7,0,,0,0.0,0,77.1
Derius Davis,LAC,1,1,0,0,,-4,-4.0,4,4.0,-4.0,0,,0,0.0,0,79.2
Joshua Kelley,LAC,1,1,4,0,0,4,4.0,0,0.0,4.0,0,,0,0.0,0,83.3
Stone Smartt,LAC,1,0,0,0,,0,,0,,-1.0,0,,0,0.0,0,39.6
Donald Parham,LAC,2,0,0,0,,0,,0,,5.0,0,,0,0.0,0,39.6
Jalen Guyton,LAC,2,0,0,0,,0,,0,,12.0,0,,0,0.0,0,39.6
Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Garrett Wilson,NYJ,13,7,80,0,2,57,8.1,23,3.3,12.7,2,3.5,0,0.0,0,72.6
Michael Carter,NYJ,6,6,24,0,2,-1,-0.2,25,4.2,-0.2,0,,0,0.0,0,83.3
Tyler Conklin,NYJ,6,6,66,0,2,48,8.0,18,3.0,8.0,0,,0,0.0,0,112.5
Breece Hall,NYJ,4,4,10,0,1,-13,-3.3,23,5.8,-3.3,1,4.0,0,0.0,0,79.2
Allen Lazard,NYJ,6,2,18,0,2,10,5.0,8,4.0,9.3,0,,1,16.7,0,42.4
Xavier Gipson,NYJ,2,2,32,0,2,26,13.0,6,3.0,13.0,1,2.0,0,0.0,0,118.7
C.J. Uzomah,NYJ,5,2,11,0,1,9,4.5,2,1.0,6.0,0,,1,20.0,0,47.9
Jeremy Ruckert,NYJ,1,1,7,0,,4,4.0,3,3.0,4.0,0,,0,0.0,0,95.8
Dalvin Cook,NYJ,2,1,1,0,,1,1.0,0,0.0,0.0,0,,1,50.0,0,56.2
Malik Taylor,NYJ,2,1,7,0,,7,7.0,0,0.0,23.0,0,,0,0.0,0,58.3
Nick Bawden,NYJ,1,1,7,0,,-3,-3.0,10,10.0,-3.0,0,,0,0.0,0,95.8
