Quarter,Time,Tm,Detail,NWE,MIA
1.0,8:07,Dolphins,Andrew Franks 38 yard field goal,0,3
2.0,8:06,Patriots,Stephen Gostkowski 34 yard field goal,3,3
,0:36,Dolphins,DeVante Parker 15 yard pass from Ryan Tannehill (Andrew Franks kick),3,10
3.0,12:32,Patriots,Steven Jackson 2 yard rush (Stephen Gostkowski kick),10,10
4.0,6:58,Dolphins,Jordan Cameron 2 yard pass from Ryan Tannehill (Andrew Franks kick),10,17
,1:56,Dolphins,Andrew Franks 19 yard field goal,10,20
