Week,Day,Date,Time,Winner/tie,Unnamed: 5,Loser/tie,Unnamed: 7,PtsW,PtsL,YdsW,TOW,YdsL,TOL,url,Home,Away,File
Week1,Thu,2020-09-10,8:20PM,Kansas City Chiefs,,Houston Texans,boxscore,34,20,369,0,360,1,https://www.pro-football-reference.com/boxscores/202009100kan.htm,KC,HOU,2020_Week1_KC_vs_HOU
Week1,Sun,2020-09-13,1:00PM,Seattle Seahawks,@,Atlanta Falcons,boxscore,38,25,383,0,506,2,https://www.pro-football-reference.com/boxscores/202009130atl.htm,ATL,SEA,2020_Week1_ATL_vs_SEA
Week1,Sun,2020-09-13,1:00PM,Buffalo Bills,,New York Jets,boxscore,27,17,404,2,254,2,https://www.pro-football-reference.com/boxscores/202009130buf.htm,BUF,NYJ,2020_Week1_BUF_vs_NYJ
Week1,Sun,2020-09-13,1:00PM,Las Vegas Raiders,@,Carolina Panthers,boxscore,34,30,372,0,388,0,https://www.pro-football-reference.com/boxscores/202009130car.htm,CAR,LVR,2020_Week1_CAR_vs_LVR
Week1,Sun,2020-09-13,1:00PM,Chicago Bears,@,Detroit Lions,boxscore,27,23,363,0,426,1,https://www.pro-football-reference.com/boxscores/202009130det.htm,DET,CHI,2020_Week1_DET_vs_CHI
Week1,Sun,2020-09-13,1:00PM,Baltimore Ravens,,Cleveland Browns,boxscore,38,6,381,1,306,3,https://www.pro-football-reference.com/boxscores/202009130rav.htm,BAL,CLE,2020_Week1_BAL_vs_CLE
Week1,Sun,2020-09-13,1:00PM,Jacksonville Jaguars,,Indianapolis Colts,boxscore,27,20,241,0,445,2,https://www.pro-football-reference.com/boxscores/202009130jax.htm,JAX,IND,2020_Week1_JAX_vs_IND
Week1,Sun,2020-09-13,1:00PM,Green Bay Packers,@,Minnesota Vikings,boxscore,43,34,522,0,382,1,https://www.pro-football-reference.com/boxscores/202009130min.htm,MIN,GB,2020_Week1_MIN_vs_GB
Week1,Sun,2020-09-13,1:00PM,New England Patriots,,Miami Dolphins,boxscore,21,11,357,1,269,3,https://www.pro-football-reference.com/boxscores/202009130nwe.htm,NE,MIA,2020_Week1_NE_vs_MIA
Week1,Sun,2020-09-13,1:00PM,Washington Football Team,,Philadelphia Eagles,boxscore,27,17,239,0,265,3,https://www.pro-football-reference.com/boxscores/202009130was.htm,WAS,PHI,2020_Week1_WAS_vs_PHI
Week1,Sun,2020-09-13,4:05PM,Los Angeles Chargers,@,Cincinnati Bengals,boxscore,16,13,362,0,295,2,https://www.pro-football-reference.com/boxscores/202009130cin.htm,CIN,LAC,2020_Week1_CIN_vs_LAC
Week1,Sun,2020-09-13,4:25PM,Arizona Cardinals,@,San Francisco 49ers,boxscore,24,20,404,1,366,0,https://www.pro-football-reference.com/boxscores/202009130sfo.htm,SF,ARI,2020_Week1_SF_vs_ARI
Week1,Sun,2020-09-13,4:25PM,New Orleans Saints,,Tampa Bay Buccaneers,boxscore,34,23,271,0,310,3,https://www.pro-football-reference.com/boxscores/202009130nor.htm,NO,TB,2020_Week1_NO_vs_TB
Week1,Sun,2020-09-13,8:20PM,Los Angeles Rams,,Dallas Cowboys,boxscore,20,17,422,1,380,0,https://www.pro-football-reference.com/boxscores/202009130ram.htm,LAR,DAL,2020_Week1_LAR_vs_DAL
Week1,Mon,2020-09-14,7:15PM,Pittsburgh Steelers,@,New York Giants,boxscore,26,16,349,1,291,2,https://www.pro-football-reference.com/boxscores/202009140nyg.htm,NYG,PIT,2020_Week1_NYG_vs_PIT
Week1,Mon,2020-09-14,10:10PM,Tennessee Titans,@,Denver Broncos,boxscore,16,14,377,0,323,1,https://www.pro-football-reference.com/boxscores/202009140den.htm,DEN,TEN,2020_Week1_DEN_vs_TEN
Week2,Thu,2020-09-17,8:20PM,Cleveland Browns,,Cincinnati Bengals,boxscore,35,30,434,1,353,1,https://www.pro-football-reference.com/boxscores/202009170cle.htm,CLE,CIN,2020_Week2_CLE_vs_CIN
Week2,Sun,2020-09-20,1:00PM,Dallas Cowboys,,Atlanta Falcons,boxscore,40,39,570,3,380,0,https://www.pro-football-reference.com/boxscores/202009200dal.htm,DAL,ATL,2020_Week2_DAL_vs_ATL
Week2,Sun,2020-09-20,1:00PM,Buffalo Bills,@,Miami Dolphins,boxscore,31,28,523,1,410,0,https://www.pro-football-reference.com/boxscores/202009200mia.htm,MIA,BUF,2020_Week2_MIA_vs_BUF
Week2,Sun,2020-09-20,1:00PM,Tampa Bay Buccaneers,,Carolina Panthers,boxscore,31,17,339,2,427,4,https://www.pro-football-reference.com/boxscores/202009200tam.htm,TB,CAR,2020_Week2_TB_vs_CAR
Week2,Sun,2020-09-20,1:00PM,Chicago Bears,,New York Giants,boxscore,17,13,304,2,295,2,https://www.pro-football-reference.com/boxscores/202009200chi.htm,CHI,NYG,2020_Week2_CHI_vs_NYG
Week2,Sun,2020-09-20,1:00PM,Indianapolis Colts,,Minnesota Vikings,boxscore,28,11,354,1,175,3,https://www.pro-football-reference.com/boxscores/202009200clt.htm,IND,MIN,2020_Week2_IND_vs_MIN
Week2,Sun,2020-09-20,1:00PM,Pittsburgh Steelers,,Denver Broncos,boxscore,26,21,410,2,319,2,https://www.pro-football-reference.com/boxscores/202009200pit.htm,PIT,DEN,2020_Week2_PIT_vs_DEN
Week2,Sun,2020-09-20,1:00PM,Green Bay Packers,,Detroit Lions,boxscore,42,21,488,0,307,1,https://www.pro-football-reference.com/boxscores/202009200gnb.htm,GB,DET,2020_Week2_GB_vs_DET
Week2,Sun,2020-09-20,1:00PM,Tennessee Titans,,Jacksonville Jaguars,boxscore,33,30,354,0,480,2,https://www.pro-football-reference.com/boxscores/202009200oti.htm,TEN,JAX,2020_Week2_TEN_vs_JAX
Week2,Sun,2020-09-20,1:00PM,San Francisco 49ers,@,New York Jets,boxscore,31,13,359,1,277,0,https://www.pro-football-reference.com/boxscores/202009200nyj.htm,NYJ,SF,2020_Week2_NYJ_vs_SF
Week2,Sun,2020-09-20,1:00PM,Los Angeles Rams,@,Philadelphia Eagles,boxscore,37,19,449,1,363,3,https://www.pro-football-reference.com/boxscores/202009200phi.htm,PHI,LAR,2020_Week2_PHI_vs_LAR
