Quarter,Time,Tm,Detail,CIN,PIT
1.0,9:58,Steelers,Le'Veon Bell 1 yard rush (Shaun Suisham kick),0,7
,2:16,Steelers,Antonio Brown 12 yard pass from Ben Roethlisberger (Shaun Suisham kick),0,14
,1:12,Steelers,Antonio Brown 67 yard punt return (Shaun Suisham kick),0,21
2.0,9:36,Steelers,Shaun Suisham 25 yard field goal,0,24
,5:14,Bengals,Giovani Bernard 1 yard rush (Mike Nugent kick),7,24
,1:14,Steelers,Shaun Suisham 45 yard field goal,7,27
3.0,6:18,Steelers,Shaun Suisham 26 yard field goal,7,30
4.0,14:09,Bengals,Tyler Eifert 1 yard pass from Andy Dalton (Mike Nugent kick),14,30
,5:46,Bengals,Marvin Jones 13 yard pass from Andy Dalton (pass failed),20,30
