Unnamed: 0,CIN,PIT
First Downs,19,19
Rush-Yds-TDs,22-57-1,36-106-1
Cmp-Att-Yd-TD-INT,25-44-230-2-0,20-25-191-1-1
Sacked-Yards,1-8,1-7
Net Pass Yards,222,184
Total Yards,279,290
Fumbles-Lost,2-1,0-0
Turnovers,1,1
Penalties-Yards,6-50,4-25
Third Down Conv.,4-14,2-10
Fourth Down Conv.,3-5,2-2
Time of Possession,28:24,31:36
