0,1
Game Info,Game Info
Won Toss,Browns
Roof,outdoors
Surface,grass
Duration,3:00
Attendance,70560
Weather,"70 degrees, relative humidity 0%, wind 6 mph, wind chill 0"
Vegas Line,Minnesota Vikings -4.5
Over/Under,40.0 (over)
