Unnamed: 0,MIN,CLE
First Downs,19,17
Rush-Yds-TDs,37-225-3,20-89-0
Cmp-Att-Yd-TD-INT,14-22-110-1-0,21-35-205-1-1
Sacked-Yards,4-25,5-26
Net Pass Yards,85,179
Total Yards,310,268
Fumbles-Lost,0-0,3-1
Turnovers,0,2
Penalties-Yards,3-38,8-66
Third Down Conv.,6-14,3-12
Fourth Down Conv.,0-0,0-1
Time of Possession,33:22,26:38
