Quarter,Time,Down,ToGo,Location,MIN,CLE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Browns won the coin toss, Browns to receive the opening kickoff.",,
1,15:00,,,MIN 30,0,0,Ryan Longwell kicks onside 21 yards,0.000,2.190
1,14:59,1,10,CLE 49,0,0,Jamal Lewis left guard for 6 yards (tackle by Chad Greenway),2.190,2.460
1,14:19,2,4,MIN 45,0,0,Brady Quinn pass incomplete deep left intended for Braylon Edwards,2.460,1.750
1,14:13,3,4,MIN 45,0,0,Josh Cribbs right tackle for 5 yards (tackle by E.J. Henderson and Ray Edwards),1.750,2.920
1,13:35,1,10,MIN 40,0,0,Brady Quinn pass complete deep right to Robert Royal for 18 yards (tackle by Tyrell Johnson),2.920,4.110
1,12:49,1,10,MIN 22,0,0,Brady Quinn pass incomplete short right intended for Robert Royal,4.110,3.560
1,12:45,2,10,MIN 22,0,0,Jason Davis right guard for 1 yard (tackle by Antoine Winfield),3.560,3.010
1,12:09,3,9,MIN 21,0,0,Brady Quinn pass complete short middle to Jason Davis for 1 yard (tackle by E.J. Henderson and Ray Edwards),3.010,2.120
1,11:33,4,8,MIN 20,0,3,Phil Dawson 37 yard field goal good,2.120,3.000
1,,,,CLE 30,0,3,"Phil Dawson kicks off 69 yards, returned by Percy Harvin for 29 yards (tackle by Kaluka Maiava)",0.000,0.940
1,11:21,1,10,MIN 30,0,3,Adrian Peterson left tackle for 1 yard (tackle by Eric Barton),0.940,0.530
1,10:45,2,9,MIN 31,0,3,Adrian Peterson right guard for no gain (tackle by David Bowens and Kenyon Coleman),0.530,-0.160
1,10:04,3,9,MIN 31,0,3,Brett Favre pass complete short right to Chester Taylor for -1 yards (tackle by Hank Poteat),-0.160,-1.370
1,9:33,4,10,MIN 30,0,3,"Chris Kluwe punts 51 yards, returned by Josh Cribbs for 3 yards (tackle by Karl Paymah)",-1.370,-0.410
1,9:24,1,10,CLE 22,0,3,Jason Davis left guard for 2 yards (tackle by E.J. Henderson and Kevin Williams),0.410,0.140
1,8:49,2,8,CLE 24,0,3,"Brady Quinn pass complete short right to Josh Cribbs for 2 yards (tackle by Antoine Winfield). Penalty on Braylon Edwards: Illegal Block Above the , 10 yards",0.140,-1.080
1,8:17,2,16,CLE 16,0,3,Jamal Lewis left end for 2 yards (tackle by Ben Leber and Jared Allen),-1.080,-1.490
1,7:35,3,14,CLE 18,0,3,Jason Davis left guard for no gain (tackle by Benny Sapp),-1.490,-2.240
1,7:05,4,14,CLE 18,0,3,Dave Zastudil punts 31 yards,-2.240,-2.320
1,6:55,1,10,CLE 49,0,3,Brett Favre pass complete short right to Visanthe Shiancoe for 6 yards (tackle by D'Qwell Jackson),2.320,2.590
1,6:21,2,4,CLE 43,0,3,Adrian Peterson right guard for 3 yards (tackle by Kenyon Coleman),2.590,2.280
1,5:45,3,1,CLE 40,0,3,Adrian Peterson right guard for 7 yards (tackle by Brandon McDonald),2.280,3.380
1,5:10,1,10,CLE 33,0,3,Brett Favre sacked by Abram Elam for -4 yards,3.380,2.300
1,4:31,2,14,CLE 37,0,3,Adrian Peterson right tackle for 13 yards (tackle by Hank Poteat),2.300,3.340
1,3:48,3,1,CLE 24,0,3,Jeff Dugan right guard for 5 yards (tackle by Eric Barton and D'Qwell Jackson),3.340,4.310
1,3:07,1,10,CLE 19,0,3,Brett Favre pass complete short left to Chester Taylor for 5 yards (tackle by David Bowens),4.310,4.530
1,2:17,2,5,CLE 14,0,3,Percy Harvin left end for 11 yards (tackle by C.J. Mosley),4.530,6.510
1,1:33,1,3,CLE 3,0,3,Adrian Peterson left tackle for 2 yards (tackle by D'Qwell Jackson),6.510,5.910
1,0:55,2,1,CLE 1,0,3,Adrian Peterson left end for -2 yards (tackle by Kamerion Wimbley and Eric Barton),5.910,4.720
1,0:10,3,3,CLE 3,0,3,Brett Favre pass incomplete short right intended for Sidney Rice,4.720,3.040
1,0:06,4,3,CLE 3,3,3,Ryan Longwell 21 yard field goal good,3.040,3.000
1,,,,MIN 30,3,3,"Ryan Longwell kicks off 73 yards, returned by Josh Cribbs for 17 yards (tackle by Kenny Onatolu)",0.000,-0.280
Quarter,Time,Down,ToGo,Location,MIN,CLE,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,CLE 14,3,3,Jamal Lewis right guard for no gain (tackle by E.J. Henderson and Antoine Winfield),-0.280,-0.750
2,14:24,2,10,CLE 14,3,3,Brady Quinn pass complete short left to Robert Royal for 5 yards (tackle by Ben Leber),-0.750,-0.800
2,13:37,3,5,CLE 19,3,3,Brady Quinn sacked by Kevin Williams for -9 yards,-0.800,-2.490
2,13:11,4,14,CLE 10,3,3,"Dave Zastudil punts 49 yards, returned by Darius Reynaud for 36 yards (tackle by Abram Elam)",-2.490,-4.040
2,12:56,1,10,CLE 23,3,3,Brett Favre pass complete short left to Chester Taylor for 2 yards (tackle by Abram Elam),4.040,3.770
2,12:27,2,8,CLE 21,3,3,Brett Favre pass complete short right to Adrian Peterson for 18 yards (tackle by Kamerion Wimbley),3.770,6.510
2,11:54,1,3,CLE 3,3,3,Naufahu Tahi left guard for 2 yards (tackle by Eric Barton and David Bowens),6.510,5.910
2,11:17,2,1,CLE 1,9,3,"Adrian Peterson left guard for 1 yard, touchdown",5.910,7.000
2,,,,CLE 2,10,3,Ryan Longwell kicks extra point good,0.000,0.000
2,,,,MIN 30,10,3,"Ryan Longwell kicks off 70 yards, returned by Josh Cribbs for 27 yards. Josh Cribbs fumbles, ball out of bounds at CLE-25",0.000,0.610
2,11:02,1,10,CLE 25,10,3,Jamal Lewis left guard for 2 yards (tackle by E.J. Henderson),0.610,0.330
2,10:17,2,8,CLE 27,10,3,"Brady Quinn pass complete short middle to Lawrence Vickers for 12 yards (tackle by Cedric Griffin). Lawrence Vickers fumbles (forced by Cedric Griffin), recovered by Steve Heiden at CLE-39",0.330,1.530
,,,,,,,"MIN challenged the runner was down by contact ruling, and the play was upheld.",,
2,9:43,1,10,CLE 39,10,3,Jamal Lewis left tackle for 15 yards (tackle by Cedric Griffin),1.530,2.520
2,9:17,1,10,MIN 46,10,3,Brady Quinn pass complete short middle to Steve Heiden for 7 yards (tackle by Ben Leber),2.520,2.920
2,8:36,2,3,MIN 39,10,3,Jamal Lewis right guard for 5 yards (tackle by Ben Leber),2.920,3.310
2,7:54,1,10,MIN 34,10,3,"Brady Quinn pass incomplete deep left intended for Braylon Edwards. Penalty on Cedric Griffin: Defensive Pass Interfere, 28 yards (no play)",3.310,5.830
,,,,,,,"MIN challenged the pass completion ruling, and the original play was overturned.",,
2,7:47,1,6,MIN 6,10,3,Jamal Lewis middle for 3 yards (tackle by Pat Williams),5.830,5.530
2,7:16,2,3,MIN 3,10,3,Josh Cribbs right guard for 2 yards (tackle by Chad Greenway and E.J. Henderson),5.530,5.170
2,6:38,3,1,MIN 1,10,3,Josh Cribbs right tackle for -1 yards (tackle by Ray Edwards),5.170,3.250
2,6:00,4,2,MIN 2,10,6,Phil Dawson 20 yard field goal good,3.250,3.000
2,,,,CLE 30,10,6,"Phil Dawson kicks off 70 yards, touchback",0.000,0.280
2,5:57,1,10,MIN 20,10,6,Brett Favre pass complete short right to Sidney Rice for 9 yards (tackle by Brandon McDonald),0.280,0.950
2,5:23,2,1,MIN 29,10,6,Adrian Peterson left guard for no gain (tackle by Brandon McDonald),0.950,0.230
2,4:39,3,1,MIN 29,10,6,Chester Taylor left tackle for no gain (tackle by Abram Elam),0.230,-1.440
2,4:13,4,1,MIN 29,10,6,Chris Kluwe punts 29 yards,-1.440,-1.730
2,4:05,1,10,CLE 42,10,6,Brady Quinn pass incomplete short left intended for Braylon Edwards,1.730,1.190
2,4:02,2,10,CLE 42,10,6,"Penalty on Braylon Edwards: False Start, 5 yards (no play)",1.190,0.510
2,4:02,2,15,CLE 37,10,6,Jamal Lewis left tackle for -1 yards (tackle by Jimmy Kennedy),0.510,-0.290
2,3:20,3,16,CLE 36,10,6,Brady Quinn left end for 11 yards (tackle by Chad Greenway),-0.290,-0.260
2,2:30,4,5,CLE 47,10,6,"Dave Zastudil punts 38 yards, fair catch by Darius Reynaud",-0.260,0.220
2,2:23,1,10,MIN 15,10,6,Brett Favre pass incomplete short right intended for Percy Harvin,-0.220,-0.710
2,2:19,2,10,MIN 15,10,6,Brett Favre sacked by Brodney Pool for -6 yards,-0.710,-2.120
2,2:00,3,16,MIN 9,10,6,Brett Favre pass complete short right to Chester Taylor for 10 yards (tackle by Brodney Pool),-2.120,-2.140
2,1:46,,,,10,6,Timeout #1 by Cleveland Browns,0.000,-2.140
2,1:46,4,6,MIN 19,10,12,"Chris Kluwe punts 48 yards, returned by Josh Cribbs for 67 yards, touchdown",-2.140,-7.000
2,,,,MIN 2,10,13,Phil Dawson kicks extra point good,0.000,0.000
2,,,,CLE 30,10,13,"Phil Dawson kicks off 73 yards, returned by Percy Harvin for 29 yards (tackle by Coye Francies)",0.000,0.670
2,1:24,1,10,MIN 26,10,13,Brett Favre pass incomplete deep left intended for Bernard Berrian (defended by Eric Wright),0.670,0.130
2,1:20,2,10,MIN 26,10,13,Brett Favre pass complete short left to Sidney Rice for 8 yards (tackle by Eric Wright),0.130,0.500
2,1:14,3,2,MIN 34,10,13,Brett Favre pass incomplete short left intended for Chester Taylor,0.500,-1.110
2,1:11,4,2,MIN 34,10,13,Chris Kluwe punts 27 yards,-1.110,-1.530
2,1:04,1,10,CLE 39,10,13,Brady Quinn pass incomplete short right intended for Jason Davis,1.530,0.990
2,1:00,2,10,CLE 39,10,13,Brady Quinn pass complete short right to Jason Davis for 2 yards (tackle by E.J. Henderson),0.990,0.560
2,0:15,3,8,CLE 41,10,13,Brady Quinn sacked by E.J. Henderson for -1 yards,0.560,-0.720
Quarter,Time,Down,ToGo,Location,MIN,CLE,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CLE 30,10,13,"Phil Dawson kicks off 66 yards, returned by Percy Harvin for 41 yards (tackle by Brandon McDonald)",0.000,1.930
3,14:50,1,10,MIN 45,10,13,Adrian Peterson right tackle for 5 yards (tackle by Eric Wright),1.930,2.060
3,14:15,2,5,,10,13,Adrian Peterson left guard for 6 yards (tackle by David Bowens),2.060,2.650
3,13:41,1,10,CLE 44,10,13,Percy Harvin left end for 11 yards (tackle by Shaun Rogers),2.650,3.380
3,13:41,1,10,CLE 33,10,13,"Penalty on Brett Favre: Delay of Game, 5 yards (no play)",3.380,3.050
3,12:47,1,15,CLE 38,10,13,Brett Favre pass incomplete deep left intended for Sidney Rice,3.050,2.160
3,12:40,2,15,CLE 38,10,13,Chester Taylor right tackle for 5 yards (tackle by Abram Elam),2.160,2.150
3,12:09,3,10,CLE 33,10,13,Brett Favre pass complete short right to Visanthe Shiancoe for 13 yards (tackle by Alex Hall),2.150,4.240
3,11:31,1,10,CLE 20,10,13,"Brett Favre pass incomplete deep left intended for Sidney Rice. Penalty on Brandon McDonald: Defensive Pass Interfere, 16 yards (no play)",4.240,6.280
3,11:26,1,4,CLE 4,10,13,Adrian Peterson left guard for 3 yards (tackle by Corey Williams and D'Qwell Jackson),6.280,5.910
3,10:51,2,1,CLE 1,10,13,Adrian Peterson left guard for no gain (tackle by Eric Barton),5.910,5.170
3,10:10,3,1,CLE 1,16,13,"Adrian Peterson left guard for 1 yard, touchdown",5.170,7.000
3,,,,CLE 2,17,13,Ryan Longwell kicks extra point good,0.000,0.000
3,,,,MIN 30,17,13,"Ryan Longwell kicks off 69 yards, returned by Josh Cribbs for 27 yards (tackle by Husain Abdullah)",0.000,0.810
3,9:59,1,10,CLE 28,17,13,Jamal Lewis left guard for 14 yards (tackle by Madieu Williams and Cedric Griffin),0.810,1.730
3,9:22,1,10,CLE 42,17,13,Jamal Lewis left guard for 8 yards (tackle by Madieu Williams),1.730,2.270
3,8:45,2,2,,17,13,Brady Quinn pass incomplete deep left intended for Braylon Edwards is intercepted by Cedric Griffin at MIN-18,2.270,-0.040
3,8:38,1,10,MIN 18,17,13,Adrian Peterson left tackle for 2 yards (tackle by David Bowens and Shaun Rogers),0.040,-0.130
3,7:53,2,8,MIN 20,17,13,Brett Favre pass complete short right to Visanthe Shiancoe for 7 yards (tackle by D'Qwell Jackson),-0.130,-0.020
3,7:14,3,1,MIN 27,17,13,Adrian Peterson right guard for 2 yards (tackle by D'Qwell Jackson),-0.020,0.870
3,6:31,1,10,MIN 29,17,13,Brett Favre sacked by Shaun Rogers for -8 yards. Penalty on John Sullivan: Offensive Holding (Declined),0.870,-0.750
3,6:09,2,18,MIN 21,17,13,Brett Favre pass complete deep left to Percy Harvin for 21 yards (tackle by Abram Elam and D'Qwell Jackson),-0.750,1.730
3,5:33,1,10,MIN 42,17,13,Adrian Peterson right guard for 6 yards (tackle by C.J. Mosley and Eric Barton),1.730,2.000
3,5:02,2,4,MIN 48,17,13,Adrian Peterson left guard for 7 yards (tackle by D'Qwell Jackson),2.000,2.590
3,4:33,1,10,CLE 45,17,13,Chester Taylor right guard for 5 yards (tackle by D'Qwell Jackson),2.590,2.720
3,3:51,2,5,CLE 40,17,13,Chester Taylor right end for 8 yards (tackle by Abram Elam),2.720,3.450
3,3:11,1,10,CLE 32,17,13,Adrian Peterson right guard for 19 yards (tackle by Abram Elam),3.450,4.710
3,2:31,1,10,CLE 13,17,13,Chester Taylor left guard for -2 yards (tackle by Eric Barton),4.710,3.760
3,1:51,2,12,CLE 15,17,13,Brett Favre pass complete short middle to Percy Harvin for 9 yards (tackle by D'Qwell Jackson),3.760,4.560
3,1:12,3,3,CLE 6,23,13,"Brett Favre pass complete short left to Percy Harvin for 6 yards, touchdown",4.560,7.000
3,,,,CLE 2,24,13,Ryan Longwell kicks extra point good,0.000,0.000
3,,,,MIN 30,24,13,"Ryan Longwell kicks off 66 yards, returned by Josh Cribbs for 27 yards (tackle by Jasper Brinkley). Penalty on Kaluka Maiava: Offensive Holding, 10 yards",0.000,0.150
3,1:00,1,10,CLE 19,24,13,Brady Quinn pass complete short right to Robert Royal for 11 yards (tackle by Chad Greenway),0.150,0.940
3,0:34,1,10,CLE 30,24,13,Brady Quinn pass complete short left to Mike Furrey for 2 yards (tackle by Tyrell Johnson),0.940,0.660
3,0:03,2,8,CLE 32,24,13,Jamal Lewis right guard for 3 yards (tackle by Ray Edwards),0.660,0.370
Quarter,Time,Down,ToGo,Location,MIN,CLE,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,5,CLE 35,24,13,"Penalty on Ray Edwards: Encroachment, 5 yards (no play)",0.370,1.600
4,15:00,1,10,CLE 40,24,13,Brady Quinn pass complete short left to Braylon Edwards for 12 yards (tackle by Tyrell Johnson),1.600,2.390
4,14:25,1,10,MIN 48,24,13,Brady Quinn pass incomplete deep right intended for Mike Furrey (defended by Tyrell Johnson),2.390,1.850
4,14:19,2,10,MIN 48,24,13,Jason Davis left guard for 2 yards (tackle by Ray Edwards),1.850,1.420
4,14:19,3,8,MIN 46,24,13,"Penalty on Jason Davis: False Start, 5 yards (no play)",1.420,0.760
4,13:28,3,13,CLE 49,24,13,Brady Quinn pass incomplete deep right intended for Josh Cribbs,0.760,-0.130
4,13:23,4,13,CLE 49,24,13,"Dave Zastudil punts 39 yards, fair catch by Darius Reynaud",-0.130,0.350
4,13:15,1,10,MIN 12,24,13,Adrian Peterson right end for 12 yards (tackle by Eric Wright),-0.350,0.540
4,12:47,1,10,MIN 24,24,13,Brett Favre pass incomplete short right intended for Chester Taylor,0.540,0.000
4,12:43,2,10,MIN 24,24,13,Adrian Peterson right guard for 4 yards (tackle by Shaun Rogers),0.000,-0.160
4,12:01,3,6,MIN 28,24,13,Brett Favre pass incomplete short right intended for Jim Kleinsasser,-0.160,-1.500
4,11:55,4,6,MIN 28,24,13,"Chris Kluwe punts 42 yards, returned by Josh Cribbs for -3 yards (tackle by Karl Paymah)",-1.500,-0.740
4,11:43,1,10,CLE 27,24,13,Brady Quinn pass complete short right to Jason Davis for 1 yard (tackle by Antoine Winfield),0.740,0.330
4,11:20,2,9,CLE 28,24,13,Brady Quinn pass complete short right to Steve Heiden for 7 yards (tackle by Madieu Williams),0.330,0.560
4,10:57,3,2,CLE 35,24,13,"Penalty on Joe Thomas: False Start, 5 yards (no play)",0.560,-0.100
4,10:39,3,7,CLE 30,24,13,Brady Quinn pass complete short left to Mike Furrey for 10 yards (tackle by Cedric Griffin),-0.100,1.600
4,10:15,1,10,CLE 40,24,13,"Brady Quinn sacked for -4 yards. Brady Quinn fumbles, recovered by Kevin Williams at CLE-34",1.600,-3.310
4,10:01,1,10,CLE 34,24,13,Adrian Peterson right guard for 3 yards (tackle by Eric Barton),3.310,3.180
4,9:26,2,7,CLE 31,24,13,Adrian Peterson left tackle for 19 yards (tackle by Brodney Pool),3.180,4.780
4,8:55,1,10,CLE 12,24,13,Adrian Peterson right guard for 2 yards (tackle by Ahtyba Rubin and David Bowens),4.780,4.450
4,8:11,2,8,CLE 10,24,13,Brett Favre sacked by Kamerion Wimbley for -7 yards,4.450,2.840
4,7:38,3,15,CLE 17,24,13,Brett Favre pass complete short middle to Chester Taylor for -3 yards (tackle by Shaun Rogers),2.840,2.120
4,6:59,4,18,CLE 20,27,13,Ryan Longwell 37 yard field goal good,2.120,3.000
4,,,,MIN 30,27,13,"Ryan Longwell kicks off 67 yards, returned by Josh Cribbs for 23 yards (tackle by Kenny Onatolu)",0.000,0.670
4,6:48,1,10,CLE 26,27,13,"Penalty on John St. Clair: False Start, 5 yards (no play)",0.670,0.340
4,6:48,1,15,CLE 21,27,13,Brady Quinn pass incomplete short middle intended for Robert Royal (defended by Ben Leber),0.340,-0.550
4,6:45,2,15,CLE 21,27,13,Brady Quinn pass incomplete deep left intended for Braylon Edwards,-0.550,-1.220
4,6:38,3,15,CLE 21,27,13,Brady Quinn pass complete short right to Josh Cribbs for 8 yards (tackle by Antoine Winfield),-1.220,-1.440
4,6:21,4,7,CLE 29,27,13,"Dave Zastudil punts 53 yards, returned by Darius Reynaud for 18 yards (tackle by D'Qwell Jackson)",-1.440,-1.330
4,6:11,1,10,MIN 36,33,13,"Adrian Peterson left tackle for 64 yards, touchdown",1.330,7.000
4,,,,CLE 2,34,13,Ryan Longwell kicks extra point good,0.000,0.000
4,,,,MIN 30,34,13,"Ryan Longwell kicks off 74 yards, returned by Josh Cribbs for 23 yards (tackle by Husain Abdullah)",0.000,0.150
4,5:53,1,10,CLE 19,34,13,Brady Quinn sacked by Jimmy Kennedy for -2 yards,0.150,-0.720
4,5:35,2,12,CLE 17,34,13,Brady Quinn pass complete short right to Jamal Lewis for 19 yards (tackle by Jimmy Kennedy),-0.720,1.330
4,5:08,1,10,CLE 36,34,13,Brady Quinn pass incomplete short middle intended for Robert Royal,1.330,0.790
4,5:04,2,10,CLE 36,34,13,Brady Quinn pass incomplete short left intended for Robert Royal,0.790,0.100
4,5:00,3,10,CLE 36,34,13,Brady Quinn pass incomplete short left intended for Mike Furrey,0.100,-0.980
4,4:52,4,10,CLE 36,34,13,Brady Quinn pass incomplete short middle intended for Robert Royal (defended by Chad Greenway),-0.980,-3.180
4,4:47,1,10,CLE 36,34,13,Chester Taylor right guard for 2 yards (tackle by Brandon McDonald),3.180,2.910
4,4:05,2,8,CLE 34,34,13,Chester Taylor right guard for -1 yards (tackle by Brodney Pool and Abram Elam),2.910,2.080
4,3:20,3,9,CLE 35,34,13,Tarvaris Jackson pass incomplete short left intended for Bernard Berrian,2.080,0.970
4,3:12,4,9,CLE 35,34,13,"Chris Kluwe punts 35 yards, touchback",0.970,-0.280
4,3:03,1,10,CLE 20,34,13,Brady Quinn left guard for 10 yards (tackle by Ben Leber),0.280,0.940
4,2:39,1,10,CLE 30,34,13,Brady Quinn pass complete short right to Jamal Lewis for 11 yards (tackle by Heath Farwell),0.940,1.660
4,2:10,1,10,CLE 41,34,13,Brady Quinn pass incomplete short right intended for Mike Furrey,1.660,1.120
4,2:04,2,10,CLE 41,34,13,Brady Quinn pass complete short left to Jamal Lewis for 17 yards (tackle by Benny Sapp),1.120,2.790
4,1:56,1,10,MIN 42,34,13,Brady Quinn pass complete short middle to Mike Furrey for 5 yards (tackle by Heath Farwell),2.790,2.920
4,1:37,2,5,MIN 37,34,13,Brady Quinn pass complete short right to Mike Furrey for 11 yards (tackle by Karl Paymah),2.920,3.840
4,1:14,1,10,MIN 26,34,13,"Brady Quinn pass complete short middle to Josh Cribbs for 6 yards (tackle by Antoine Winfield). Penalty on John St. Clair: Offensive Holding, 10 yards (no play)",3.840,3.180
4,1:08,1,20,MIN 36,34,13,Brady Quinn pass complete short right to Mohamed Massaquoi for 18 yards (tackle by Heath Farwell),3.180,4.450
4,0:59,,,,34,13,Timeout #1 by Cleveland Browns,0.000,4.450
4,0:59,2,2,MIN 18,34,13,Brady Quinn sacked by Ray Edwards and Ben Leber for -8 yards,4.450,2.610
4,0:35,3,10,MIN 26,34,19,"Brady Quinn pass complete deep middle to Robert Royal for 26 yards, touchdown",2.610,7.000
4,,,,MIN 2,34,20,Phil Dawson kicks extra point good,0.000,0.000
4,,,,CLE 30,34,20,Phil Dawson kicks onside 25 yards,0.000,1.930
4,0:28,1,10,MIN 45,34,20,Tarvaris Jackson kneels for -1 yards,1.930,1.250
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
