Quarter,Time,Tm,Detail,MIN,CLE
1.0,11:28,Browns,Phil Dawson 37 yard field goal,0,3
,0:03,Vikings,Ryan Longwell 21 yard field goal,3,3
2.0,11:09,Vikings,Adrian Peterson 1 yard rush (Ryan Longwell kick),10,3
,5:57,Browns,Phil Dawson 20 yard field goal,10,6
,1:30,Browns,Josh Cribbs 67 yard punt return (Phil Dawson kick),10,13
3.0,10:07,Vikings,Adrian Peterson 1 yard rush (Ryan Longwell kick),17,13
,1:06,Vikings,Percy Harvin 6 yard pass from Brett Favre (Ryan Longwell kick),24,13
4.0,6:55,Vikings,Ryan Longwell 37 yard field goal,27,13
,5:58,Vikings,Adrian Peterson 64 yard rush (Ryan Longwell kick),34,13
,0:28,Browns,Robert Royal 26 yard pass from Brady Quinn (Phil Dawson kick),34,20
