Quarter,Time,Tm,Detail,DEN,JAX
1.0,9:21,Jaguars,Marvin Jones 25 yard pass from Trevor Lawrence (Josh Lambo kick),0,7
,0:26,Broncos,Brandon McManus 32 yard field goal,3,7
2.0,1:54,Broncos,Tim Patrick 12 yard pass from Teddy Bridgewater (Brandon McManus kick),10,7
3.0,12:35,Broncos,Noah Fant 14 yard pass from Teddy Bridgewater (Brandon McManus kick),17,7
,1:04,Broncos,Brandon McManus 46 yard field goal,20,7
4.0,5:42,Broncos,Brandon McManus 40 yard field goal,23,7
,5:26,Jaguars,Jamal Agnew 102 yard kickoff return (pass failed),23,13
