Unnamed: 0,DEN,JAX
First Downs,22,12
Rush-Yds-TDs,30-96-0,16-75-0
Cmp-Att-Yd-TD-INT,26-34-328-2-0,14-33-118-1-2
Sacked-Yards,3-26,1-4
Net Pass Yards,302,114
Total Yards,398,189
Fumbles-Lost,0-0,0-0
Turnovers,0,2
Penalties-Yards,10-101,7-70
Third Down Conv.,2-11,4-11
Fourth Down Conv.,2-2,1-1
Time of Possession,38:52,21:08
