Unnamed: 0,BUF,NYJ
First Downs,14,18
Rush-Yds-TDs,28-68-1,30-127-0
Cmp-Att-Yd-TD-INT,15-31-182-0-1,20-30-210-2-0
Sacked-Yards,3-20,1-8
Net Pass Yards,162,202
Total Yards,230,329
Fumbles-Lost,2-2,1-0
Turnovers,3,0
Penalties-Yards,0-0,2-15
Third Down Conv.,6-16,4-13
Fourth Down Conv.,0-1,0-2
Time of Possession,28:33,31:27
