Unnamed: 0,ATL,DET
First Downs,16,18
Rush-Yds-TDs,20-44-0,31-115-1
Cmp-Att-Yd-TD-INT,21-38-201-0-0,22-33-243-1-1
Sacked-Yards,7-62,0-0
Net Pass Yards,139,243
Total Yards,183,358
Fumbles-Lost,1-1,0-0
Turnovers,1,1
Penalties-Yards,4-24,10-119
Third Down Conv.,4-14,4-14
Fourth Down Conv.,0-1,0-0
Time of Possession,27:03,32:57
