Unnamed: 0,WAS,BUF
First Downs,8,25
Rush-Yds-TDs,23-59-0,39-196-2
Cmp-Att-Yd-TD-INT,9-28-116-1-0,19-26-244-1-1
Sacked-Yards,2-6,1-8
Net Pass Yards,110,236
Total Yards,169,432
Fumbles-Lost,3-1,2-1
Turnovers,1,2
Penalties-Yards,9-77,9-95
Third Down Conv.,2-14,3-10
Fourth Down Conv.,1-1,0-0
Time of Possession,23:05,36:55
