Quarter,Time,Down,ToGo,Location,WAS,BUF,Detail,EPB,EPA
1,6:50,3,14,WAS 36,0,3,Patrick Ramsey pass incomplete intended for Rod Gardner,-0.160,-0.980
1,6:44,4,14,WAS 36,0,3,"Bryan Barker punts 39 yards, fair catch by Antonio Brown",-0.980,-0.610
1,6:34,1,10,BUF 25,0,3,Drew Bledsoe pass complete to Josh Reed for 10 yards (tackle by Jeremiah Trotter),0.610,1.270
1,5:54,1,10,BUF 35,0,3,"Antonio Brown right end for 17 yards (tackle by Ifeanyi Ohalete). Penalty on LaVar Arrington: Unnecessary Roughness, 15 yards",1.270,3.380
1,5:31,1,10,WAS 33,0,3,Drew Bledsoe sacked by Jessie Armstead for -8 yards,3.380,1.760
1,4:59,2,18,WAS 41,0,3,"Travis Henry left tackle for 10 yards (tackle by Matt Bowen). Penalty on Ruben Brown: Offensive Holding, 10 yards (no play)",1.760,0.410
1,4:45,2,28,BUF 49,0,3,Drew Bledsoe pass complete to Josh Reed for 7 yards (tackle by Ifeanyi Ohalete),0.410,0.700
1,3:59,3,21,WAS 44,0,3,Drew Bledsoe pass incomplete,0.700,0.330
1,3:53,4,21,WAS 44,0,3,"Brian Moorman punts 35 yards, fair catch by Chad Morton",0.330,0.380
1,3:44,1,10,WAS 9,0,3,Ladell Betts up the middle for 2 yards (tackle by Takeo Spikes and Izell Reese),-0.380,-0.630
1,3:11,2,8,WAS 11,0,3,Ladell Betts left guard for 1 yard (tackle by Jeff Posey and London Fletcher),-0.630,-1.070
1,2:33,3,7,WAS 12,0,3,Ladell Betts up the middle for 1 yard (tackle by Pat Williams and Aaron Schobel),-1.070,-2.490
1,2:06,4,6,WAS 13,0,3,"Bryan Barker punts 51 yards, returned by Antonio Brown for 5 yards (tackle by Daryl Terrell)",-2.490,-1.660
1,1:55,1,10,BUF 41,0,3,"Drew Bledsoe pass complete to Sam Gash for 16 yards (tackle by LaVar Arrington). Sam Gash fumbles (forced by LaVar Arrington), recovered by Bobby Shaw at WAS-33",1.660,3.380
1,1:46,1,10,WAS 33,0,3,Drew Bledsoe pass complete to Bobby Shaw for 13 yards (tackle by Matt Bowen),3.380,4.240
1,1:11,1,10,WAS 20,0,3,"Penalty on Sam Gash: False Start, 5 yards (no play)",4.240,3.910
1,0:47,1,15,WAS 25,0,3,Travis Henry left end for 4 yards (tackle by Todd Franz and Lional Dalton),3.910,3.560
1,0:02,2,11,WAS 21,0,3,Travis Henry left guard for 4 yards (tackle by Ifeanyi Ohalete),3.560,3.360
Quarter,Time,Down,ToGo,Location,WAS,BUF,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,,,,0,3,Timeout #1 by Buffalo Bills,0.000,3.360
2,15:00,3,7,WAS 17,0,3,"Penalty on Jonas Jennings: False Start, 5 yards (no play)",3.360,2.740
2,15:00,3,12,WAS 22,0,3,Drew Bledsoe pass complete to Travis Henry for 13 yards (tackle by Matt Bowen),2.740,5.140
2,14:16,1,9,WAS 9,0,3,"Travis Henry right guard for 3 yards (tackle by Lional Dalton). Penalty on LaVar Arrington: Defensive Offside, 5 yards (no play)",5.140,6.280
2,13:47,1,4,WAS 4,0,9,"Travis Henry left guard for 4 yards, touchdown",6.280,7.000
2,,,,WAS 2,0,10,Rian Lindell kicks extra point good,0.000,0.000
2,,,,BUF 30,0,10,"Rian Lindell kicks off 52 yards, returned by Rock Cartwright for 13 yards (tackle by Ryan Neufeld)",0.000,1.000
2,13:36,1,10,WAS 31,0,10,Patrick Ramsey pass complete to Laveranues Coles for 9 yards (tackle by Nate Clements),1.000,1.680
2,13:04,2,1,WAS 40,0,10,Ladell Betts up the middle for 6 yards (tackle by Ryan Denney),1.680,1.990
2,12:28,1,10,WAS 46,0,10,Patrick Ramsey pass complete to Laveranues Coles for 47 yards (tackle by Antoine Winfield),1.990,5.600
2,11:46,,,,0,10,Timeout #2 by Buffalo Bills,0.000,5.600
2,11:46,1,7,BUF 7,0,10,Patrick Ramsey pass incomplete (defended by Lawyer Milloy),5.600,4.760
2,11:43,2,7,BUF 7,0,10,Patrick Ramsey pass complete to Darnerien McCants for 6 yards (tackle by Antoine Winfield),4.760,5.170
2,11:01,3,1,BUF 1,0,10,"Patrick Ramsey for no gain. Patrick Ramsey fumbles, recovered by Lawyer Milloy at BUF-5 and returned for 2 yards (tackle by Rock Cartwright)",5.170,0.380
2,10:55,1,10,BUF 7,0,10,Travis Henry left guard for 5 yards (tackle by Jessie Armstead),-0.380,-0.420
2,10:23,2,5,BUF 12,0,10,Travis Henry left tackle for no gain (tackle by Bernard Holsey and Lional Dalton),-0.420,-0.840
2,9:43,3,5,BUF 12,0,10,Drew Bledsoe pass incomplete intended for Bobby Shaw,-0.840,-2.490
2,9:38,4,5,BUF 12,0,10,"Brian Moorman punts 56 yards, returned by Chad Morton for 17 yards (tackle by Joe Burns)",-2.490,-2.190
2,9:25,1,10,WAS 49,0,10,"Patrick Ramsey sacked by Jeff Posey for 0 yards. Patrick Ramsey fumbles (forced by Jeff Posey), recovered by Laveranues Coles at BUF-47",2.190,2.190
2,8:36,2,6,BUF 47,0,10,Ladell Betts up the middle for no gain (tackle by Antoine Winfield),2.190,1.490
2,8:01,3,6,BUF 47,0,10,Patrick Ramsey pass incomplete intended for Laveranues Coles (defended by Kevin Thomas),1.490,0.130
2,7:57,4,6,BUF 47,0,10,"Bryan Barker punts 35 yards, fair catch by Antonio Brown",0.130,0.350
2,7:49,1,10,BUF 12,0,10,Drew Bledsoe pass complete to Josh Reed for 11 yards (tackle by Champ Bailey),-0.350,0.480
2,7:08,1,10,BUF 23,0,10,Travis Henry left tackle for 4 yards (tackle by Jessie Armstead and Ifeanyi Ohalete),0.480,0.470
2,6:29,2,6,BUF 27,0,10,Travis Henry left guard for -2 yards (tackle by Jessie Armstead). Penalty on Mike Pucillo: Offensive Holding (Declined),0.470,-0.490
2,6:01,3,8,BUF 25,0,10,Drew Bledsoe pass incomplete intended for Travis Henry,-0.490,-1.700
2,5:53,4,8,BUF 25,0,10,"Brian Moorman punts 59 yards, returned by Chad Morton for 20 yards (tackle by Josh Stamer)",-1.700,-1.330
2,5:39,1,10,WAS 36,0,10,"Penalty on Chris Samuels: False Start, 5 yards (no play)",1.330,1.000
2,5:39,1,15,WAS 31,0,10,Patrick Ramsey pass incomplete intended for Rod Gardner (defended by Takeo Spikes),1.000,0.120
2,5:35,2,15,WAS 31,0,10,Patrick Ramsey pass incomplete intended for Rock Cartwright,0.120,-0.560
2,5:31,3,15,WAS 31,0,10,Patrick Ramsey pass incomplete intended for Darnerien McCants,-0.560,-1.310
2,5:24,4,15,WAS 31,0,10,"Bryan Barker punts 47 yards, returned by Antonio Brown for 4 yards (tackle by Bryan Johnson)",-1.310,-0.670
2,5:13,1,10,BUF 26,0,10,"Drew Bledsoe pass incomplete intended for Antonio Brown. Penalty on Ruben Brown: Offensive Holding, 10 yards (no play)",0.670,-0.300
2,5:08,1,20,BUF 16,0,10,Drew Bledsoe pass incomplete intended for Josh Reed (defended by Todd Franz),-0.300,-1.370
2,5:03,2,20,BUF 16,0,10,Travis Henry up the middle for 27 yards (tackle by Matt Bowen),-1.370,1.800
2,4:06,1,10,BUF 43,0,10,Travis Henry left guard for 8 yards (tackle by Todd Franz and Matt Bowen),1.800,2.330
2,3:23,2,2,WAS 49,0,10,"Travis Henry right tackle for 3 yards (tackle by Rashad Bauman). Penalty on Ruben Brown: Clipping, 15 yards",2.330,0.710
2,3:03,2,14,BUF 39,0,10,Drew Bledsoe pass incomplete intended for Mark Campbell,0.710,0.040
2,2:57,3,14,BUF 39,0,10,Drew Bledsoe pass incomplete intended for Josh Reed. Penalty on Jonas Jennings: Offensive Holding (Declined),0.040,-0.780
2,2:51,4,14,BUF 39,0,10,"Brian Moorman punts 51 yards, returned by Chad Morton for 14 yards (tackle by Dominique Stevenson)",-0.780,-0.540
2,2:38,1,10,WAS 24,0,10,Patrick Ramsey pass complete to Rod Gardner for 3 yards (tackle by Nate Clements),0.540,0.400
2,2:12,2,7,WAS 27,0,10,Patrick Ramsey pass incomplete intended for Rod Gardner,0.400,-0.300
2,2:05,3,7,WAS 27,0,10,Patrick Ramsey pass incomplete intended for Patrick Johnson (defended by Kevin Thomas). Penalty on Ladell Betts: Chop Block (Declined),-0.300,-1.570
2,1:57,4,7,WAS 27,0,10,"Bryan Barker punts 36 yards, returned by Antonio Brown for -5 yards (tackle by Bryan Johnson)",-1.570,-1.070
2,1:48,1,10,BUF 32,0,10,Drew Bledsoe pass complete to Mark Campbell for 23 yards (tackle by Ifeanyi Ohalete),1.070,2.590
2,1:22,1,10,WAS 45,0,10,Travis Henry up the middle for 2 yards (tackle by LaVar Arrington),2.590,2.310
2,1:03,2,8,WAS 43,0,10,Drew Bledsoe pass complete to Mark Campbell for 7 yards (tackle by Jessie Armstead),2.310,2.540
2,0:41,3,1,WAS 36,0,10,Drew Bledsoe up the middle for 6 yards (tackle by LaVar Arrington),2.540,3.580
2,0:35,,,,0,10,Timeout #3 by Buffalo Bills,0.000,3.580
2,0:35,1,10,WAS 30,0,10,Drew Bledsoe pass incomplete intended for Josh Reed is intercepted by Daryl Terrell at WAS-25 and returned for 1 yard (tackle by Josh Reed),3.580,-0.670
,,,,,,,"Replay Assistant challenged the ruling, and the play was upheld.",,
2,0:29,1,10,WAS 26,0,10,Patrick Ramsey pass incomplete intended for Rod Gardner,0.670,0.130
2,0:22,2,10,WAS 26,0,10,Ladell Betts up the middle for no gain (tackle by Pat Williams),0.130,-0.560
Quarter,Time,Down,ToGo,Location,WAS,BUF,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,BUF 30,0,10,"Rian Lindell kicks off 60 yards, returned by Chad Morton for 14 yards (tackle by Terrence McGee)",0.000,0.540
3,14:55,1,10,WAS 24,0,10,"Patrick Ramsey pass incomplete intended for Rod Gardner (defended by Izell Reese). Penalty on Pat Williams: Roughing the Passer, 15 yards (no play)",0.540,1.530
3,14:50,1,10,WAS 39,0,10,Chad Morton right guard for 8 yards (tackle by Izell Reese and Jeff Posey),1.530,2.070
3,14:22,2,2,WAS 47,0,10,Chad Morton left guard for 8 yards (tackle by Lawyer Milloy),2.070,2.590
3,13:52,1,10,BUF 45,0,10,Chad Morton right end for 6 yards (tackle by Lawyer Milloy),2.590,2.850
3,13:20,2,4,BUF 39,0,10,Chad Morton up the middle for 1 yard (tackle by London Fletcher and Jeff Posey),2.850,2.280
3,12:38,3,3,BUF 38,0,10,Chad Morton for 3 yards (tackle by Antoine Winfield),2.280,3.250
3,11:58,1,10,BUF 35,0,10,Patrick Ramsey pass incomplete,3.250,2.700
3,11:42,2,10,BUF 35,0,10,Patrick Ramsey pass incomplete intended for Laveranues Coles (defended by Antoine Winfield),2.700,2.010
3,11:36,3,10,BUF 35,0,10,Patrick Ramsey pass complete to Patrick Johnson for 9 yards (tackle by Izell Reese),2.010,1.890
3,10:52,,,,0,10,Timeout #1 by Washington Redskins,0.000,1.890
3,10:52,4,1,BUF 26,0,10,Rock Cartwright right guard for 5 yards (tackle by Lawyer Milloy and Jeff Posey),1.890,4.170
3,10:19,1,10,BUF 21,0,10,"Patrick Ramsey pass complete to Bryan Johnson for 12 yards (tackle by Takeo Spikes). Penalty on Derrick Dockery: Offensive Holding, 10 yards (no play)",4.170,3.510
3,10:03,1,20,BUF 31,0,10,Rock Cartwright left tackle for 6 yards (tackle by Takeo Spikes and Ryan Denney),3.510,3.090
3,9:24,2,14,BUF 25,0,10,Patrick Ramsey pass incomplete intended for Laveranues Coles (defended by Antoine Winfield),3.090,2.410
3,9:18,3,14,BUF 25,6,10,"Patrick Ramsey pass complete to Rod Gardner for 25 yards, touchdown",2.410,7.000
3,,,,BUF 2,7,10,John Hall kicks extra point good,0.000,0.000
3,,,,WAS 30,7,10,"John Hall kicks off 70 yards, touchback",0.000,0.280
3,9:12,1,10,BUF 20,7,10,Drew Bledsoe pass complete to Mark Campbell for 6 yards (tackle by Rashad Bauman),0.280,0.540
3,8:41,2,4,BUF 26,7,10,Travis Henry left tackle for 21 yards (tackle by Todd Franz),0.540,2.060
3,7:53,1,10,BUF 47,7,10,Drew Bledsoe pass complete to Bobby Shaw for 5 yards (tackle by Jessie Armstead),2.060,2.190
3,7:15,2,5,WAS 48,7,10,Travis Henry right tackle for 13 yards (tackle by Matt Bowen and Ifeanyi Ohalete),2.190,3.250
3,6:27,1,10,WAS 35,7,10,Drew Bledsoe pass complete to Ryan Neufeld for 25 yards (tackle by Matt Bowen),3.250,4.910
3,5:42,1,10,WAS 10,7,16,"Drew Bledsoe pass complete to Josh Reed for 10 yards, touchdown",4.910,7.000
3,,,,WAS 2,7,17,Rian Lindell kicks extra point good,0.000,0.000
3,,,,BUF 30,7,17,"Rian Lindell kicks off 58 yards, returned by Chad Morton for 12 yards (tackle by Sam Aiken)",0.000,0.540
3,5:30,1,10,WAS 24,7,17,Patrick Ramsey pass incomplete,0.540,0.000
3,5:25,2,10,WAS 24,7,17,Chad Morton left tackle for 4 yards (tackle by London Fletcher and Takeo Spikes),0.000,-0.160
3,4:44,3,6,WAS 28,7,17,Patrick Ramsey pass incomplete intended for Rod Gardner,-0.160,-1.500
3,4:37,4,6,WAS 28,7,17,"Bryan Barker punts 48 yards, returned by Antonio Brown for no gain",-1.500,-0.540
3,4:24,1,10,BUF 24,7,17,Travis Henry right guard for no gain (tackle by LaVar Arrington and Renaldo Wynn),0.540,0.000
3,3:48,2,10,BUF 24,7,17,Drew Bledsoe pass complete to Clarence Coleman for 12 yards (tackle by Champ Bailey),0.000,1.330
3,3:09,1,10,BUF 36,7,17,Travis Henry right guard for 1 yard (tackle by Renaldo Wynn and Ifeanyi Ohalete),1.330,0.930
3,2:31,2,9,BUF 37,7,17,Drew Bledsoe pass complete to Josh Reed for 26 yards (tackle by Ifeanyi Ohalete),0.930,3.120
3,1:48,,,,7,17,Timeout #1 by Buffalo Bills,0.000,3.120
3,1:48,1,10,WAS 37,7,17,"Drew Bledsoe pass incomplete intended for Ryan Neufeld. Penalty on Trey Teague: Offensive Holding, 10 yards (no play)",3.120,2.460
3,1:43,1,20,WAS 47,7,17,"Drew Bledsoe up the middle for 2 yards. Drew Bledsoe fumbles, recovered by LaVar Arrington at WAS-45",2.460,-1.930
3,1:39,1,10,WAS 45,7,17,Patrick Ramsey pass incomplete intended for Rod Gardner,1.930,1.380
3,1:33,2,10,WAS 45,7,17,"Rock Cartwright right guard for 4 yards (tackle by London Fletcher). Penalty on Derrick Dockery: Unnecessary Roughness, 15 yards",1.380,-0.100
3,1:05,2,21,WAS 34,7,17,Patrick Ramsey pass complete to Laveranues Coles for 2 yards (tackle by Aaron Schobel),-0.100,-0.490
3,0:23,3,19,WAS 36,7,17,"Penalty on Byron Chamberlain: False Start, 5 yards (no play)",-0.490,-1.150
3,0:04,3,24,WAS 31,7,17,Patrick Ramsey pass incomplete intended for Chad Morton,-1.150,-1.310
Quarter,Time,Down,ToGo,Location,WAS,BUF,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,4,24,WAS 31,7,17,Bryan Barker punts 31 yards,-1.310,-1.470
4,14:52,1,10,BUF 38,7,17,Travis Henry left tackle for 8 yards (tackle by Jessie Armstead and Todd Franz),1.470,2.000
4,14:15,2,2,BUF 46,7,17,Travis Henry up the middle for no gain (tackle by LaVar Arrington),2.000,1.290
4,13:30,,,,7,17,Timeout #2 by Buffalo Bills,0.000,1.290
4,13:30,3,2,BUF 46,7,17,Drew Bledsoe pass complete to Bobby Shaw for 5 yards (tackle by Champ Bailey),1.290,2.320
4,12:53,1,10,WAS 49,7,17,Drew Bledsoe pass complete to Josh Reed for 16 yards (tackle by Champ Bailey),2.320,3.380
4,12:14,1,10,WAS 33,7,17,Travis Henry right guard for 6 yards (tackle by Antonio Pierce),3.380,3.650
4,11:33,2,4,WAS 27,7,17,Travis Henry right guard for 5 yards (tackle by LaVar Arrington),3.650,4.110
4,10:49,1,10,WAS 22,7,17,Travis Henry up the middle for 8 yards (tackle by Matt Bowen). Penalty on Regan Upshaw: Defensive Offside (Declined),4.110,4.850
4,10:31,2,2,WAS 14,7,23,"Travis Henry right tackle for 14 yards, touchdown",4.850,7.000
4,,,,WAS 2,7,24,Rian Lindell kicks extra point good,0.000,0.000
4,,,,BUF 30,7,24,"Rian Lindell kicks off 65 yards, returned by Chad Morton for 27 yards (tackle by Angelo Crowell)",0.000,1.070
4,10:17,1,10,WAS 32,7,24,Rock Cartwright left guard for 3 yards (tackle by Lawyer Milloy and London Fletcher),1.070,0.930
4,9:46,2,7,WAS 35,7,24,Patrick Ramsey pass complete to Darnerien McCants for 11 yards (tackle by Nate Clements),0.930,1.990
4,9:07,1,10,WAS 46,7,24,Patrick Ramsey pass incomplete intended for Patrick Johnson,1.990,1.450
4,9:02,2,10,WAS 46,7,24,Rob Johnson pass complete to Bryan Johnson for 4 yards (tackle by Antoine Winfield),1.450,1.290
4,8:25,3,6,BUF 50,7,24,Rob Johnson sacked by Aaron Schobel and Kevin Thomas for -6 yards,1.290,-0.460
4,8:11,4,12,WAS 44,7,24,"Bryan Barker punts 49 yards, returned by Antonio Brown for 1 yard (tackle by Daryl Terrell)",-0.460,0.380
4,7:58,1,10,BUF 8,7,24,Travis Henry right guard for 5 yards (tackle by Todd Franz),-0.380,-0.410
4,7:16,2,5,BUF 13,7,24,Travis Henry left guard for no gain (tackle by Jessie Armstead),-0.410,-0.840
4,6:30,3,5,BUF 13,7,24,Travis Henry right guard for no gain (tackle by LaVar Arrington),-0.840,-2.490
4,5:54,4,5,BUF 13,7,24,"Brian Moorman punts 41 yards. Penalty on Antonio Pierce: Unnecessary Roughness, 15 yards",-2.490,-1.000
4,5:39,1,10,WAS 31,7,24,Laveranues Coles for -11 yards (tackle by Aaron Schobel),1.000,-1.030
4,5:15,2,21,WAS 20,7,24,Chad Morton up the middle for 2 yards (tackle by London Fletcher),-1.030,-1.420
4,4:32,3,19,WAS 22,7,24,Chad Morton up the middle for 3 yards (tackle by Kevin Thomas and Pat Williams),-1.420,-1.700
4,4:01,4,16,WAS 25,7,24,"Bryan Barker punts 41 yards, returned by Antonio Brown for 8 yards (tackle by Bryan Johnson). Penalty on Nate Clements: Unnecessary Roughness, 15 yards",-1.700,-0.740
4,3:44,1,10,BUF 27,7,24,"Travis Henry left tackle for 3 yards (tackle by Ifeanyi Ohalete). Penalty on Ryan Neufeld: Offensive Holding, 10 yards (no play)",0.740,-0.170
4,3:38,1,20,BUF 17,7,24,Joe Burns up the middle for no gain (tackle by Jeremiah Trotter),-0.170,-1.290
4,3:02,2,20,BUF 17,7,24,Joe Burns right guard for 5 yards (tackle by Jessie Armstead),-1.290,-1.150
4,2:18,3,15,BUF 22,7,24,Joe Burns up the middle for 1 yard (tackle by Jeremiah Trotter),-1.150,-1.830
4,2:00,4,14,BUF 23,7,24,Brian Moorman punts 49 yards,-1.830,-0.810
4,1:52,1,10,WAS 28,7,24,Rob Johnson pass incomplete intended for Darnerien McCants,0.810,0.260
4,1:48,2,10,WAS 28,7,24,Rob Johnson pass incomplete intended for Patrick Johnson (defended by Pierson Prioleau),0.260,-0.430
4,1:40,3,10,WAS 28,7,24,Rob Johnson for 6 yards (tackle by Takeo Spikes),-0.430,-1.110
4,1:32,4,4,WAS 34,7,24,"Bryan Barker punts 40 yards, fair catch by Antonio Brown",-1.110,-0.670
4,1:23,1,10,BUF 26,7,24,Drew Bledsoe kneels for -1 yards,0.670,-0.010
4,0:45,2,11,BUF 25,7,24,Alex Van Pelt kneels for -1 yards,-0.010,-0.820
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
