Quarter,Time,Tm,Detail,WAS,BUF
1.0,8:04,Bills,Rian Lindell 20 yard field goal,0,3
2.0,13:43,Bills,Travis Henry 4 yard rush (Rian Lindell kick),0,10
3.0,9:12,Redskins,Rod Gardner 25 yard pass from Patrick Ramsey (John Hall kick),7,10
,5:36,Bills,Josh Reed 10 yard pass from Drew Bledsoe (Rian Lindell kick),7,17
4.0,10:24,Bills,Travis Henry 14 yard rush (Rian Lindell kick),7,24
