Unnamed: 0,NYJ,BUF
First Downs,18,26
Rush-Yds-TDs,14-73-0,32-142-3
Cmp-Att-Yd-TD-INT,24-30-210-2-0,26-39-271-1-2
Sacked-Yards,3-17,4-29
Net Pass Yards,193,242
Total Yards,266,384
Fumbles-Lost,1-1,1-1
Turnovers,1,3
Penalties-Yards,10-90,10-82
Third Down Conv.,2-8,7-17
Fourth Down Conv.,0-0,2-2
Time of Possession,21:06,39:08
