Quarter,Time,Tm,Detail,NYJ,BUF
1,9:04,Bills,Mike Hollis 52 yard field goal,0,3
2,12:25,Bills,Travis Henry 5 yard rush (Mike Hollis kick),0,10
,12:11,Jets,Chad Morton 98 yard kickoff return (John Hall kick),7,10
,9:12,Jets,Anthony Becht 1 yard pass from Vinny Testaverde (John Hall kick),14,10
,2:37,Bills,Travis Henry 3 yard rush (Mike Hollis kick),14,17
,0:05,Jets,John Hall 34 yard field goal,17,17
3,10:50,Jets,John Hall 45 yard field goal,20,17
,0:58,Bills,Travis Henry 2 yard rush (Mike Hollis kick),20,24
4,9:25,Jets,John Hall 33 yard field goal,23,24
,4:47,Jets,Wayne Chrebet 18 yard pass from Vinny Testaverde (Anthony Becht pass from Vinny Testaverde),31,24
,0:26,Bills,Eric Moulds 29 yard pass from Drew Bledsoe (Mike Hollis kick),31,31
OT,14:46,Jets,Chad Morton 96 yard kickoff return,37,31
