Unnamed: 0,CAR,ATL
First Downs,13,24
Rush-Yds-TDs,33-90-1,37-224-2
Cmp-Att-Yd-TD-INT,13-25-153-1-2,16-34-179-0-1
Sacked-Yards,1-12,3-23
Net Pass Yards,141,156
Total Yards,231,380
Fumbles-Lost,3-1,2-1
Turnovers,3,2
Penalties-Yards,10-75,7-42
Third Down Conv.,5-14,4-12
Fourth Down Conv.,0-0,0-2
Time of Possession,28:37,32:52
