Quarter,Time,Tm,Detail,CAR,ATL
2,11:56,Falcons,T.J. Duckett 9 yard rush (Jay Feely kick),0,7
,3:18,Panthers,Jermaine Wiggins 16 yard pass from Jake Delhomme (John Kasay kick),7,7
3,4:32,Panthers,Stephen Davis 1 yard rush (John Kasay kick),14,7
4,8:17,Falcons,Michael Vick 1 yard rush (Jay Feely kick),14,14
OT,13:31,Falcons,Kevin Mathis 32 yard interception return,14,20
