Unnamed: 0,JAX,TEN
First Downs,22,22
Rush-Yds-TDs,25-60-1,20-137-1
Cmp-Att-Yd-TD-INT,30-42-368-3-0,25-38-254-2-1
Sacked-Yards,0-0,4-27
Net Pass Yards,368,227
Total Yards,428,364
Fumbles-Lost,0-0,4-3
Turnovers,0,4
Penalties-Yards,9-70,5-50
Third Down Conv.,6-13,5-10
Fourth Down Conv.,0-1,0-1
Time of Possession,32:52,27:08
